GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1500000US220710017471,220710017471,"Block Group 1, Census Tract 17.47, Orleans Parish, Louisiana",78990,17957
1500000US220710017472,220710017472,"Block Group 2, Census Tract 17.47, Orleans Parish, Louisiana",68646,23765
1500000US220710017481,220710017481,"Block Group 1, Census Tract 17.48, Orleans Parish, Louisiana",60703,20987
1500000US220710017482,220710017482,"Block Group 2, Census Tract 17.48, Orleans Parish, Louisiana",29485,39416
1500000US220710017483,220710017483,"Block Group 3, Census Tract 17.48, Orleans Parish, Louisiana",38015,11526
1500000US220710017484,220710017484,"Block Group 4, Census Tract 17.48, Orleans Parish, Louisiana",61958,22030
1500000US220710017491,220710017491,"Block Group 1, Census Tract 17.49, Orleans Parish, Louisiana",41563,3099
1500000US220710017492,220710017492,"Block Group 2, Census Tract 17.49, Orleans Parish, Louisiana",26844,5555
1500000US220710017501,220710017501,"Block Group 1, Census Tract 17.50, Orleans Parish, Louisiana",38750,9231
1500000US220710017502,220710017502,"Block Group 2, Census Tract 17.50, Orleans Parish, Louisiana",25189,3707
1500000US220710017503,220710017503,"Block Group 3, Census Tract 17.50, Orleans Parish, Louisiana",15767,3252
1500000US220710017511,220710017511,"Block Group 1, Census Tract 17.51, Orleans Parish, Louisiana",17059,5365
1500000US220710018001,220710018001,"Block Group 1, Census Tract 18, Orleans Parish, Louisiana",51023,14282
1500000US220710018002,220710018002,"Block Group 2, Census Tract 18, Orleans Parish, Louisiana",62500,17265
1500000US220710019001,220710019001,"Block Group 1, Census Tract 19, Orleans Parish, Louisiana",26023,10852
1500000US220710019002,220710019002,"Block Group 2, Census Tract 19, Orleans Parish, Louisiana",19750,13762
1500000US220710019003,220710019003,"Block Group 3, Census Tract 19, Orleans Parish, Louisiana",26339,7410
1500000US220710020001,220710020001,"Block Group 1, Census Tract 20, Orleans Parish, Louisiana",10568,14066
1500000US220710020002,220710020002,"Block Group 2, Census Tract 20, Orleans Parish, Louisiana",18323,4007
1500000US220710020003,220710020003,"Block Group 3, Census Tract 20, Orleans Parish, Louisiana",32292,18397
1500000US220710021001,220710021001,"Block Group 1, Census Tract 21, Orleans Parish, Louisiana",18587,6030
1500000US220710021002,220710021002,"Block Group 2, Census Tract 21, Orleans Parish, Louisiana",17039,8795
1500000US220710022001,220710022001,"Block Group 1, Census Tract 22, Orleans Parish, Louisiana",22708,9462
1500000US220710022002,220710022002,"Block Group 2, Census Tract 22, Orleans Parish, Louisiana",33875,22090
1500000US220710022003,220710022003,"Block Group 3, Census Tract 22, Orleans Parish, Louisiana",15833,2718
1500000US220710023001,220710023001,"Block Group 1, Census Tract 23, Orleans Parish, Louisiana",52708,55523
1500000US220710023002,220710023002,"Block Group 2, Census Tract 23, Orleans Parish, Louisiana",9148,4061
1500000US220710023003,220710023003,"Block Group 3, Census Tract 23, Orleans Parish, Louisiana",30278,2736
1500000US220710023004,220710023004,"Block Group 4, Census Tract 23, Orleans Parish, Louisiana",24931,6279
1500000US220710023005,220710023005,"Block Group 5, Census Tract 23, Orleans Parish, Louisiana",23828,10228
1500000US220710024011,220710024011,"Block Group 1, Census Tract 24.01, Orleans Parish, Louisiana",41202,5858
1500000US220710024012,220710024012,"Block Group 2, Census Tract 24.01, Orleans Parish, Louisiana",50750,17916
1500000US220710024021,220710024021,"Block Group 1, Census Tract 24.02, Orleans Parish, Louisiana",31800,32608
1500000US220710024022,220710024022,"Block Group 2, Census Tract 24.02, Orleans Parish, Louisiana",24511,19449
1500000US220710024023,220710024023,"Block Group 3, Census Tract 24.02, Orleans Parish, Louisiana",34022,17213
1500000US220710024024,220710024024,"Block Group 4, Census Tract 24.02, Orleans Parish, Louisiana",29205,14203
1500000US220710025011,220710025011,"Block Group 1, Census Tract 25.01, Orleans Parish, Louisiana",38421,14673
1500000US220710025012,220710025012,"Block Group 2, Census Tract 25.01, Orleans Parish, Louisiana",40521,31361
1500000US220710025013,220710025013,"Block Group 3, Census Tract 25.01, Orleans Parish, Louisiana",62125,24410
1500000US220710025014,220710025014,"Block Group 4, Census Tract 25.01, Orleans Parish, Louisiana",49559,9759
1500000US220710025021,220710025021,"Block Group 1, Census Tract 25.02, Orleans Parish, Louisiana",40114,18263
1500000US220710025022,220710025022,"Block Group 2, Census Tract 25.02, Orleans Parish, Louisiana",26875,12209
1500000US220710025023,220710025023,"Block Group 3, Census Tract 25.02, Orleans Parish, Louisiana",26111,5269
