Id,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Median gross rent,with other types of income,with public assistance income,total
1500000US220710041002,70395,951,29,15,352
1500000US220710044011,14375,758,10,12,179
1500000US220710044012,13750,854,0,0,153
1500000US220710044013,14489,796,5,0,227
1500000US220710044021,-,-,0,0,37
1500000US220710044022,-,-,0,0,0
1500000US220710045001,15083,876,16,0,225
1500000US220710045002,15208,878,37,59,338
1500000US220710045003,36301,973,26,17,479
1500000US220710046001,49250,998,5,0,269
1500000US220710046002,51705,1039,78,18,804
1500000US220710046003,38000,1067,0,0,428
1500000US220710048001,8693,200,23,6,376
1500000US220710049001,9783,633,46,31,296
1500000US220710049002,16731,708,0,6,234
1500000US220710049003,-,-,0,0,12
1500000US220710049004,27625,876,6,6,119
1500000US220710050001,31333,1084,6,11,302
1500000US220710050002,24189,803,9,26,303
1500000US220710054001,41250,1005,97,4,329
1500000US220710054002,50915,1040,8,0,324
1500000US220710054003,48250,1236,16,4,350
1500000US220710055001,54688,1145,18,0,437
1500000US220710055002,52554,1180,33,8,401
1500000US220710055003,50857,1132,18,6,370
1500000US220710056011,79712,1732,17,0,257
1500000US220710056012,99773,950,6,0,252
1500000US220710056013,83000,1620,11,0,176
1500000US220710056014,64453,1650,16,0,191
1500000US220710056021,74750,1464,14,0,156
1500000US220710056022,102539,1320,17,0,327
1500000US220710056023,76250,1356,6,0,295
1500000US220710056024,119779,1917,11,0,173
1500000US220710056031,81719,1250,39,0,215
1500000US220710056032,61875,1263,20,0,228
1500000US220710056033,70862,1275,16,0,168
1500000US220710056041,103250,1419,23,0,195
1500000US220710056042,102708,1198,28,0,229
1500000US220710056043,69922,1208,17,0,174
1500000US220710060001,24375,1019,14,27,584
1500000US220710063001,21767,869,26,5,363
1500000US220710063002,22813,786,30,0,77
1500000US220710063003,19063,1071,8,0,229
1500000US220710064001,43625,978,32,15,253
1500000US220710064002,54306,1129,8,0,331
1500000US220710064003,28636,1099,20,14,202
1500000US220710064004,27292,993,0,0,242
1500000US220710065001,39063,979,20,20,418
1500000US220710065002,52452,1109,44,17,375
1500000US220710065003,25110,895,21,6,391
1500000US220710069001,18438,304,0,3,103
1500000US220710069002,11042,625,0,0,19
1500000US220710069003,12440,329,22,0,153
1500000US220710070001,7917,1091,16,0,70
1500000US220710070002,13125,781,4,0,136
1500000US220710071011,33750,1030,12,9,329
1500000US220710071012,13371,565,36,0,790
1500000US220710072001,20000,968,31,33,630
1500000US220710072002,23160,714,21,0,278
1500000US220710072003,14219,690,19,8,119
1500000US220710075011,19643,850,14,0,206
1500000US220710075012,34833,850,15,14,220
1500000US220710075013,20664,908,10,0,217
1500000US220710075014,19474,938,18,0,188
1500000US220710075015,19821,-,20,0,139
1500000US220710075021,26750,708,9,0,116
1500000US220710075022,14583,-,10,9,131
1500000US220710075023,12219,948,31,0,311
1500000US220710075024,13095,1083,30,0,162
1500000US220710075025,27386,842,0,9,287
1500000US220710076041,126607,1865,14,0,369
1500000US220710076042,191591,-,48,0,286
1500000US220710076051,14309,788,35,0,275
1500000US220710076052,22000,915,18,0,334
1500000US220710076061,75972,1175,31,0,761
1500000US220710076062,64306,990,18,0,432
1500000US220710076063,70667,1328,21,0,636
1500000US220710077001,85439,1361,9,9,877
1500000US220710077002,56523,1382,154,15,751
1500000US220710078001,66402,1169,73,13,671
1500000US220710082001,49185,875,28,0,454
1500000US220710082002,44018,894,40,0,482
1500000US220710083001,65139,1111,33,5,321
1500000US220710083002,93214,992,0,0,232
1500000US220710084001,34286,973,43,15,336
1500000US220710084002,26250,941,16,0,358
1500000US220710085001,9525,459,16,33,330
1500000US220710085002,17278,660,10,8,245
1500000US220710086001,16447,703,14,0,216
1500000US220710086002,17305,853,17,13,199
1500000US220710088001,67083,1137,45,9,411
1500000US220710088002,79038,1250,35,8,456
1500000US220710090001,88750,978,25,0,305
1500000US220710090002,158750,1166,10,0,286
1500000US220710090003,94545,1125,27,14,428
1500000US220710091001,43810,1074,9,0,342
1500000US220710091002,51389,859,6,0,186
1500000US220710091003,21875,601,0,8,181
1500000US220710091004,30125,804,50,0,409
1500000US220710092001,16250,846,0,5,150
1500000US220710092002,18750,574,61,10,216
1500000US220710092003,14375,758,0,5,243
1500000US220710094001,26538,869,13,0,164
1500000US220710094002,33235,-,2,0,74
1500000US220710094003,10682,805,5,0,114
1500000US220710094004,9643,917,6,5,150
1500000US220710096001,63784,1045,0,14,262
1500000US220710096002,52500,1063,10,0,246
1500000US220710096003,47500,767,50,3,228
1500000US220710097001,46250,1065,18,5,368
1500000US220710097002,35884,878,58,3,353
1500000US220710099001,52931,1015,32,0,520
1500000US220710099002,64583,1283,10,12,443
1500000US220710099003,45335,1041,36,0,475
1500000US220710100001,18977,725,10,0,142
1500000US220710100002,18102,911,6,5,193
1500000US220710100003,44394,894,21,0,308
1500000US220710100004,17750,819,8,0,121
1500000US220710101001,36136,1097,35,7,318
1500000US220710101002,67806,1377,53,0,607
1500000US220710102001,14297,881,53,0,151
1500000US220710102002,12143,947,0,21,102
1500000US220710102003,34000,538,0,5,128
1500000US220710102004,32083,1033,18,14,155
1500000US220710102005,37738,986,45,0,200
1500000US220710103001,16641,952,6,0,259
1500000US220710103002,17351,641,46,30,329
1500000US220710103003,37371,890,13,0,263
1500000US220710103004,16987,1175,11,0,182
1500000US220710106001,51875,989,37,12,316
1500000US220710106002,34808,928,12,0,366
1500000US220710107001,76111,1172,4,0,280
1500000US220710107002,68894,1076,8,0,593
1500000US220710108001,101250,1154,28,0,173
1500000US220710108002,85648,1318,12,0,492
1500000US220710109001,75268,794,54,0,269
1500000US220710109002,69054,1172,37,0,504
1500000US220710109003,69886,1386,52,0,381
1500000US220710109004,36250,1052,57,0,272
1500000US220710111001,15946,738,22,0,192
1500000US220710111002,37202,1048,17,0,291
1500000US220710111003,53839,1060,49,0,154
1500000US220710112001,58269,1375,10,0,288
1500000US220710112002,70250,1157,47,7,309
1500000US220710114001,112892,1266,34,0,445
1500000US220710114002,51648,1268,39,0,555
1500000US220710115001,106500,1704,12,0,286
1500000US220710115002,82857,1299,14,0,350
1500000US220710116001,114250,1309,5,0,354
1500000US220710116002,115714,1465,12,0,304
1500000US220710117001,128438,"2,000+",8,0,210
1500000US220710117002,123182,1191,17,0,240
1500000US220710117003,125795,"2,000+",8,0,315
1500000US220710117004,189667,1980,28,0,330
1500000US220710119001,101250,1283,26,0,226
1500000US220710119002,68438,1590,7,0,247
1500000US220710119003,39861,1631,22,0,225
1500000US220710120001,66333,1409,29,0,504
1500000US220710120002,138750,1483,20,0,176
1500000US220710121011,43548,1283,59,0,406
1500000US220710121012,77788,1323,52,0,429
1500000US220710121021,33897,1255,0,4,203
1500000US220710121022,123750,-,4,0,16
1500000US220710121023,85893,1458,11,0,219
1500000US220710122001,94432,1241,31,13,495
1500000US220710122002,76579,1574,31,7,426
1500000US220710123001,24934,970,17,19,229
1500000US220710123002,49333,1149,49,11,336
1500000US220710123003,76818,1409,47,0,344
1500000US220710124001,24511,736,0,0,267
1500000US220710124002,81750,918,22,10,405
1500000US220710125001,47262,1128,7,0,278
1500000US220710125002,41000,869,32,4,528
1500000US220710126001,55000,1106,36,0,294
1500000US220710126002,39297,970,10,0,317
1500000US220710126003,55000,1125,0,0,270
1500000US220710127001,40265,1059,0,0,343
1500000US220710127002,46625,1020,26,0,209
1500000US220710127003,51719,1167,0,7,220
1500000US220710127004,62188,1084,38,0,235
1500000US220710128001,51406,1003,30,0,253
1500000US220710128002,86923,1035,7,0,340
1500000US220710128003,70278,1260,31,0,378
1500000US220710129001,41894,886,13,6,470
1500000US220710129002,61736,1012,42,0,283
1500000US220710130001,23906,1023,42,0,293
1500000US220710130002,29837,835,51,0,239
1500000US220710130003,37222,909,18,0,214
1500000US220710131001,9489,839,0,10,115
1500000US220710131002,25469,657,20,11,146
1500000US220710131003,17098,850,4,0,157
1500000US220710131004,19327,923,24,0,143
1500000US220710132001,43409,1074,33,0,208
1500000US220710132002,19899,896,0,10,313
1500000US220710132003,80000,897,10,19,294
1500000US220710132004,58850,1578,47,0,245
1500000US220710133011,137396,1125,31,0,315
1500000US220710133012,137500,1813,32,0,504
1500000US220710133013,125278,-,9,0,180
1500000US220710133014,80682,1455,13,0,412
1500000US220710133021,62708,636,20,0,523
1500000US220710133022,144063,-,18,7,358
1500000US220710134001,80375,-,14,6,239
1500000US220710134002,17348,298,30,10,395
