type,description,
"Flammable solids, corrosive, organic, n.o.s.",Description coming soon….,UN2925
"Magnesium or Magnesium alloys with more than 50 percent magnesium in pellets, turnings or ribbons",Description coming soon….,UN1869
"Toxic liquid, inorganic, n.o.s.",Description coming soon….,UN3287
"Flammable solid, corrosive, inorganic, n.o.s.",Description coming soon….,UN3180
"Pyrophoric solid, inorganic, n.o.s.",Description coming soon….,UN3200
"Corrosive liquid, acidic, inorganic, n.o.s.",Description coming soon….,UN3264
Hydrochloric acid,Description coming soon….,UN1789
"Flammable solids, toxic, organic, n.o.s.",Description coming soon….,UN2926
Sodium hydroxide solution,Description coming soon….,UN1824
Aluminum smelting by-products  or   Aluminum remelting by-products,This substance is the left over product from extracting aluminum.  <a href='https://en.wikipedia.org/wiki/Smelting' target='_blank'>Wikipedia</a>,UN3170
Not available,Description coming soon….,NN112-97091
Not available,Description coming soon….,RN112-97091
"Water-reactive solid, self-heating, n.o.s.",Description coming soon….,UN3135
Mercury,Description coming soon….,UN2809
Not available,Description coming soon….,ON2711
Not available,Description coming soon….,
Not available,Description coming soon….,MN4177
"Batteries, dry, containing potassium hydroxide solid, electric, storage",Description coming soon….,UN3028
"Methylamine, anhydrous",Description coming soon….,UN1061
"Oxygen, compressed",Description coming soon….,UN1072
"Hydrogen fluoride, anhydrous",Description coming soon….,UN1052
Dinitrogen tetroxide,Description coming soon….,UN1067
Boron trifluoride,Description coming soon….,UN1008
"Hydrogen bromide, anhydrous",Description coming soon….,UN1048
Arsine,Description coming soon….,UN2188
"Compressed gas, n.o.s.",Description coming soon….,UN1956
Methyl mercaptan,Description coming soon….,UN1064
"Tetrafluoroethylene, stabilized",Description coming soon….,UN1081
"Aldehydes, flammable, toxic, n.o.s.",Description coming soon….,UN1988
Phosphine,Description coming soon….,UN2199
"Water-reactive liquid, n.o.s.",Description coming soon….,UN3148
Methyl chloroacetate,Description coming soon….,UN2295
Phosphorus oxychloride,Description coming soon….,UN1810
Hypochlorite solutions,Description coming soon….,UN1791
"Hydrogen peroxide, stabilized  or   Hydrogen peroxide aqueous solutions, stabilized with more than 60 percent hydrogen peroxide",Description coming soon….,UN2015
"Corrosive liquids, oxidizing, n.o.s.",Description coming soon….,UN3093
"Oxidizing liquid, corrosive, n.o.s.",Description coming soon….,UN3098
"Corrosive solids, oxidizing, n.o.s.",Description coming soon….,UN3084
"Oxidizing liquid, n.o.s.",Description coming soon….,UN3139
Sodium persulfate,Description coming soon….,UN1505
"Oxidizing liquid, toxic, n.o.s.",Description coming soon….,UN3099
"Sodium sulfide, anhydrous  or  Sodium sulfide with less than 30 percent water of crystallization",Description coming soon….,UN1385
"Calcium hypochlorite, dry  or  Calcium hypochlorite mixtures dry with more than 39 percent available chlorine (8.8 percent available oxygen)",Description coming soon….,UN1748
"Oxidizing solid, toxic, n.o.s.",Description coming soon….,UN3087
"Trinitrophenol, wetted or Picric acid, wetted with not less than 30 percent water, by mass",Description coming soon….,UN1344
"Hydrazine, aqueous solutions, with more than 37% hydrazine, by mass",Description coming soon….,UN2030
Carbon disulfide,Description coming soon….,UN1131
"Sodium hydrosulfide, with less than 25 percent water of crystallization",Description coming soon….,UN2318
"Oxidizing solid, corrosive, n.o.s.",Description coming soon….,UN3085
"Hydrofluoric acid, with more than 60 percent strength",Description coming soon….,UN1790
Ammonium sulfide solution,Description coming soon….,UN2683
"Corrosive solid, acidic, organic, n.o.s.",Description coming soon….,UN3261
"Corrosive liquids, toxic, n.o.s.",Description coming soon….,UN2922
"Hydrogen chloride, anhydrous",Description coming soon….,UN1050
Titanium sponge granules or Titanium sponge powders,Description coming soon….,UN2878
Silver nitrate,Description coming soon….,UN1493
Chromic acid solution,Description coming soon….,UN1755
"Corrosive solids, water-reactive, n.o.s.",Description coming soon….,UN3096
"Perchloric acid with more than 50 percent but not more than 72 percent acid, by mass",Description coming soon….,UN1873
"Organometallic substance, liquid, water-reactive, flammable",Description coming soon….,UN3399
"Sodium cyanide, solid",Description coming soon….,UN1689
"Nitrocellulose with alcohol with not less than 25 percent alcohol by mass, and with not more than 12.6 percent nitrogen, by dry mass",Description coming soon….,UN2556
Sodium borohydride,Description coming soon….,UN1426
"Alkali metal alcoholates, self-heating, corrosive, n.o.s.",Description coming soon….,UN3206
"Corrosive liquids, water-reactive, n.o.s.",Description coming soon….,UN3094
"Hydrogen peroxide, aqueous solutions with more than 40 percent but not more than 60 percent hydrogen peroxide (stabilized as necessary)",Description coming soon….,UN2014
"Aluminum powder, uncoated",Description coming soon….,UN1396
"Ammonia solutions, relative density between 0.880 and 0.957 at 15 degrees C in water, with more than 10 percent but not more than 35 percent ammonia",Description coming soon….,UN2672
"Nitroguanidine, wetted or Picrite, wetted with not less than 20 percent water, by mass",Description coming soon….,UN1336
"Organometallic substance, liquid, pyrophoric, water-reactive",Description coming soon….,UN3394
Sulfur dioxide,Description coming soon….,UN1079
Not available,Description coming soon….,UN3076
"Vinyl bromide, stabilized",Description coming soon….,UN1085
Dimethyl sulfide,Description coming soon….,UN1164
"Ammonia, anhydrous",Description coming soon….,UN1005
Hydrogen sulfide,Description coming soon….,UN1053
Ethylene oxide or Ethylene oxide with nitrogen up to a total pressure of 1MPa (10 bar) at 50 degrees C,Description coming soon….,UN1040
"Carbon monoxide, compressed",Description coming soon….,UN1016
Chlorine,Description coming soon….,UN1017
Ethane,Description coming soon….,UN1035
Nitrous oxide,Description coming soon….,UN1070
"Liquefied gas, flammable, n.o.s.",Description coming soon….,UN3161
"Methane, compressed or Natural gas, compressed (with high methane content)",Description coming soon….,UN1971
Ethylene,Description coming soon….,UN1962
"Propylene see also Petroleum gases, liquefied",Description coming soon….,UN1077
"Petroleum gases, liquefied or Liquefied petroleum gas",Description coming soon….,UN1075
"Methyl chloride, or Refrigerant gas R 40",Description coming soon….,UN1063
"Hydrogen, compressed",Description coming soon….,UN1049
Sulfur hexafluoride,Description coming soon….,UN1080
Diethyl ether or Ethyl ether,Description coming soon….,UN1155
"Butadienes, stabilized or Butadienes and Hydrocarbon mixture, stabilized, containing more than 40% butadienes",Description coming soon….,UN1010
"Butylene see also Petroleum gases, liquefied",Description coming soon….,UN1012
"Dimethylamine, anhydrous",Description coming soon….,UN1032
"Toxic liquids, corrosive, organic, n.o.s.",Description coming soon….,UN2927
Boron trifluoride diethyl etherate,Description coming soon….,UN2604
"Potassium cyanide, solid",Description coming soon….,UN1680
Allylamine,Description coming soon….,UN2334
"Isobutylene see also Petroleum gases, liquefied",Description coming soon….,UN1055
"Deuterium, compressed",Description coming soon….,UN1957
"Vinyl methyl ether, stabilized",Description coming soon….,UN1087
"Isobutane see also Petroleum gases, liquefied",Description coming soon….,UN1969
Trifluoroacetyl chloride,Description coming soon….,UN3057
Not available,Description coming soon….,UN3051
Tungsten hexafluoride,Description coming soon….,UN2196
"Chloroacetophenone, solid, (CN)",Description coming soon….,UN1697
Potassium phosphide,Description coming soon….,UN2012
Sulfuryl chloride,Description coming soon….,UN1834
"Acrolein, stabilized",Description coming soon….,UN1092
"Metal powders, flammable, n.o.s.",Description coming soon….,UN3089
Sodium,Description coming soon….,UN1428
"Substituted nitrophenol pesticides, liquid, toxic",Description coming soon….,UN3014
"Toxic solids, oxidizing, n.o.s.",Description coming soon….,UN3086
Sodium nitrite,Description coming soon….,UN1500
2-(2-Aminoethoxy) ethanol,Description coming soon….,UN3055
tert-Butyl hypochlorite,Description coming soon….,UN3255
Ammonium nitrate based fertilizer,Description coming soon….,UN2067
Potassium permanganate,Description coming soon….,UN1490
Formic acid with more than 85% acid by mass,Description coming soon….,UN1779
1-Bromo-3-chloropropane,Description coming soon….,UN2688
"Toxic solids, corrosive, organic, n.o.s.",Description coming soon….,UN2928
Glycerol alpha-monochlorohydrin,Description coming soon….,UN2689
Phosphorus pentoxide,Description coming soon….,UN1807
"Flammable solid, toxic, inorganic, n.o.s.",Description coming soon….,UN3179
"Water-reactive solid, flammable, n.o.s.",Description coming soon….,UN3132
"Trichloroisocyanuric acid, dry",Description coming soon….,UN2468
Sodium nitrate,Description coming soon….,UN1498
Dimethyl disulfide,Description coming soon….,UN2381
"Nitrocellulose, solution, flammable with not more than 12.6 percent nitrogen, by mass, and not more than 55 percent nitrocellulose",Description coming soon….,UN2059
Thionyl chloride,Description coming soon….,UN1836
Methylhydrazine,Description coming soon….,UN1244
"Water-reactive solid, toxic, n.o.s.",Description coming soon….,UN3134
Methyl chloromethyl ether,Description coming soon….,UN1239
"Organic peroxide type E, solid",Description coming soon….,UN3108
"Acetylene, dissolved",Description coming soon….,UN1001
Boron trichloride,Description coming soon….,UN1741
"Toxic solids, flammable, organic, n.o.s.",Description coming soon….,UN2930
"Lead perchlorate, solid",Description coming soon….,UN1470
"Refrigerant gases, n.o.s.",Description coming soon….,UN1078
Dichlorodifluoromethane or  Refrigerant gas R 12,Description coming soon….,UN1028
Ethyl mercaptan,Description coming soon….,UN2363
"Methyl acetylene and propadiene mixtures, stabilized",Description coming soon….,UN1060
"Caustic alkali liquids, n.o.s.",Description coming soon….,UN1719
"Isosorbide dinitrate mixture with not less than 60 percent lactose, mannose, starch or calcium hydrogen phosphate",Description coming soon….,UN2907
"Water-reactive liquid, toxic, n.o.s.",Description coming soon….,UN3130
"Water-reactive liquid, corrosive, n.o.s.",Description coming soon….,UN3129
"Aluminum chloride, anhydrous",Description coming soon….,UN1726
"Ammonium nitrate, with not more than 0.2% total combustible material, including any organic substance, calculated as carbon to the exclusion of any other added substance",Description coming soon….,UN1942
"Organic peroxide type F, liquid",Description coming soon….,UN3109
"Sodium sulfide, hydrated with not less than 30 percent water",Description coming soon….,UN1849
Azodicarbonamide,Description coming soon….,UN3242
Butanols,Description coming soon….,UN1120
Self-reactive solid type D,Description coming soon….,UN3226
"Butane see also Petroleum gases, liquefied",Description coming soon….,UN1011
"Ketones, liquid, n.o.s.",Description coming soon….,UN1224
"Magnesium, powder or Magnesium alloys, powder",Description coming soon….,UN1418
"Toxic solid, inorganic, n.o.s.",Description coming soon….,UN3288
"Pentaerythrite tetranitrate mixture, desensitized, solid, n.o.s. or Pentaerythritol tetranitrate mixture, desensitized, solid, n.o.s. or PETN mixture, desensitized, solid, n.o.s. with more than 10 percent but not more than 20 percent PETN, by mass",Description coming soon….,UN3344
"Alkali metal dispersions,  or   Alkaline earth metal dispersions",Description coming soon….,UN1391
"Trimethylamine, anhydrous",Description coming soon….,UN1083
Not available,Description coming soon….,IN2 3B07
Silane,Description coming soon….,UN2203
Chlorosulfonic acid (with or without sulfur trioxide),Description coming soon….,UN1754
"Corrosive solids, toxic, n.o.s.",Description coming soon….,UN2923
"Nitric oxide, compressed",Description coming soon….,UN1660
"Oxygen difluoride, compressed",Description coming soon….,UN2190
Not available,Description coming soon….,BO6499
"Mercaptans, liquid, flammable, toxic, n.o.s. or  Mercaptan mixtures, liquid, flammable, toxic, n.o.s.",Description coming soon….,UN1228
Sodium peroxide,Description coming soon….,UN1504
Tributylphosphane,Description coming soon….,UN3254
Not available,Description coming soon….,BO6699
Not available,Description coming soon…., N2 3B07
"Solids containing toxic liquid, n.o.s.",Description coming soon….,UN3243
"Corrosive solids, self-heating, n.o.s.",Description coming soon….,UN3095
"Phenylenediamines (o-, m-, p-)",Description coming soon….,UN1673
Not available,Description coming soon….,UN1084
Cyclopropane,Description coming soon….,UN1027
Carbon dioxide,Description coming soon….,UN1013
"Toxic solids, water-reactive, n.o.s.",Description coming soon….,UN3125
"Radioactive material, surface contaminated objects (SCO-I or SCO-II) non fissile or fissile-excepted",Description coming soon….,UN2913
"Arsenical pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",Description coming soon….,UN2760
Soda lime with more than 4 percent sodium hydroxide,Description coming soon….,UN1907
Not available,Description coming soon….,UN2663
Not available,Description coming soon….,UN3058
Dimethyldichlorosilane,Description coming soon….,UN1162
Methyldichlorosilane,Description coming soon….,UN1242
Not available,Description coming soon….,UN3207
Not available,Description coming soon….,UN13436
"Aluminum silicon powder, uncoated",Description coming soon….,UN1398
Benzoyl chloride,Description coming soon….,UN1736
Sodium methylate,Description coming soon….,UN1431
Not available,Description coming soon….,UN1284
Not available,Description coming soon….,AY2307
Not available,Description coming soon….,UY2307
"Chlorosilanes, water-reactive, flammable, corrosive, n.o.s.",Description coming soon….,UN2988
Triethylamine,Description coming soon….,UN1296
"Calcium hypochlorite, hydrated  or   Calcium hypochlorite, hydrated mixtures, with not less than 5.5 percent but not more than 16 percent water",Description coming soon….,UN2880
Butyronitrile,Description coming soon….,UN2411
"Esters, n.o.s.",Description coming soon….,UN3272
Diethyl carbonate,Description coming soon….,UN2366
Methyl iodide,Description coming soon….,UN2644
Not available,Description coming soon….,UN118
Benzoquinone,Description coming soon….,UN2587
Acetyl chloride,Description coming soon….,UN1717
Calcium hydride,Description coming soon….,UN1404
"Hydrogen peroxide, aqueous solutions with not less than 8 percent but less than 20 percent hydrogen peroxide (stabilized as necessary)",Description coming soon….,UN2984
