Id,Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Median gross rent 2015,Median gross rent,with other types of income,with public assistance income,total
1500000US220710033083,18277,18704,327,382,58,0,500
1500000US220710033084,26131,25859,808,-,22,0,215
1500000US220710033085,29417,37788,1019,1072,9,0,199
1500000US220710033086,29417,112552,-,-,0,0,47
1500000US220710034001,23750,27381,864,821,43,0,276
1500000US220710034002,21544,20221,719,747,10,20,408
1500000US220710035001,21250,21114,877,874,0,0,237
1500000US220710035002,15481,17305,641,670,15,11,165
1500000US220710035003,35167,35938,936,862,4,0,218
1500000US220710036001,30000,30167,900,846,40,0,210
1500000US220710036002,23750,21976,851,876,16,0,395
1500000US220710036003,29896,30417,923,915,13,18,208
1500000US220710037011,37539,45952,1148,1163,63,0,782
1500000US220710037012,40625,34167,1058,1075,15,0,248
1500000US220710037021,29464,27600,768,706,0,0,320
1500000US220710037022,18965,18718,1055,1041,13,0,293
1500000US220710037023,18965,16563,833,888,0,4,179
1500000US220710037024,27542,28787,882,1060,19,0,255
1500000US220710037025,63214,78333,845,782,0,0,228
1500000US220710037026,47760,37212,1046,1064,46,0,380
1500000US220710038001,69844,70074,1136,1138,55,0,437
1500000US220710038002,79537,62417,1100,1095,33,0,420
1500000US220710039001,32465,32188,868,827,45,6,303
1500000US220710039002,16667,19821,1102,1019,30,14,362
1500000US220710040001,29583,21105,826,779,45,12,393
1500000US220710040002,24375,22278,698,731,80,14,528
1500000US220710041001,45417,44960,1009,983,37,0,437
1500000US220710041002,70625,70395,933,951,29,15,352
1500000US220710044011,17321,14375,809,758,10,12,179
1500000US220710044012,13036,13750,850,854,0,0,153
1500000US220710044013,25000,14489,921,796,5,0,227
1500000US220710044021,-,-,-,-,0,0,37
1500000US220710044022,-,-,-,-,0,0,0
1500000US220710045001,15203,15083,945,876,16,0,225
1500000US220710045002,23289,15208,879,878,37,59,338
1500000US220710045003,36771,36301,929,973,26,17,479
1500000US220710046001,49196,49250,993,998,5,0,269
1500000US220710046002,53824,51705,1113,1039,78,18,804
1500000US220710046003,49875,38000,1027,1067,0,0,428
1500000US220710048001,8738,8693,233,200,23,6,376
1500000US220710049001,11944,9783,616,633,46,31,296
1500000US220710049002,15592,16731,581,708,0,6,234
1500000US220710049003,-,-,-,-,0,0,12
1500000US220710049004,28571,27625,906,876,6,6,119
1500000US220710050001,28750,31333,1089,1084,6,11,302
1500000US220710050002,23162,24189,838,803,9,26,303
1500000US220710054001,39777,41250,1043,1005,97,4,329
1500000US220710054002,53068,50915,1086,1040,8,0,324
1500000US220710054003,33750,48250,1088,1236,16,4,350
1500000US220710055001,64063,54688,1175,1145,18,0,437
1500000US220710055002,50417,52554,1300,1180,33,8,401
1500000US220710055003,68788,50857,1174,1132,18,6,370
1500000US220710056011,71250,79712,1650,1732,17,0,257
1500000US220710056012,101528,99773,1317,950,6,0,252
1500000US220710056013,83000,83000,1635,1620,11,0,176
1500000US220710056014,64250,64453,1438,1650,16,0,191
1500000US220710056021,96042,74750,1421,1464,14,0,156
1500000US220710056022,89531,102539,1650,1320,17,0,327
1500000US220710056023,72045,76250,1350,1356,6,0,295
1500000US220710056024,117566,119779,1931,1917,11,0,173
1500000US220710056031,72337,81719,1281,1250,39,0,215
1500000US220710056032,76641,61875,1250,1263,20,0,228
1500000US220710056033,59500,70862,1081,1275,16,0,168
1500000US220710056041,100833,103250,1424,1419,23,0,195
1500000US220710056042,104250,102708,1232,1198,28,0,229
1500000US220710056043,69375,69922,1267,1208,17,0,174
1500000US220710060001,18641,24375,1005,1019,14,27,584
1500000US220710063001,30161,21767,850,869,26,5,363
1500000US220710063002,19643,22813,758,786,30,0,77
1500000US220710063003,13333,19063,1072,1071,8,0,229
1500000US220710064001,39688,43625,959,978,32,15,253
1500000US220710064002,52000,54306,1128,1129,8,0,331
1500000US220710064003,52000,28636,1252,1099,20,14,202
1500000US220710064004,26827,27292,915,993,0,0,242
1500000US220710065001,43828,39063,1007,979,20,20,418
1500000US220710065002,51655,52452,1115,1109,44,17,375
1500000US220710065003,25588,25110,940,895,21,6,391
1500000US220710069001,19083,18438,326,304,0,3,103
