year,exporter,expAddress,exporterCity,quant,units,importer,impAddress,impCity,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,101443.6947,kg,CLEAN HARBORS INC,2258 RIVER ROAD,LONDON,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,8248.40839,l,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,149088.225,l,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,48452.75087,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,1249.1853,l,CLEAN HARBORS INC,2 KM NORTH FROM HIGHWAY 14 ON SR 854,RYLEY,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,208.19755,l,CLEAN HARBORS INC,2 KM NORTH FROM HIGHWAY 14 ON SR 854,RYLEY,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,817.64856,l,CLEAN HARBORS INC,2 KM NORTH FROM HIGHWAY 14 ON SR 854,RYLEY,,
2005,CLEAN HARBORS INC,11800 SOUTH STONY ISLAND AVENUE,CHICAGO,908.4984,l,CLEAN HARBORS INC,2 KM NORTH FROM HIGHWAY 14 ON SR 854,RYLEY,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,8237.2398,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,18098.34075,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,899111.0535,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,62323.6095,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2005,CLEAN HARBORS INC,1 HILL AVENUE,BRAINTREE,899111.0535,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
