Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With other types of income,Margin of Error; Total: - With other types of income,Estimate; Total: - No other types of income,Margin of Error; Total: - No other types of income
1500000US220710014014,2.2071E+11,"Block Group 4, Census Tract 14.01, Orleans Parish, Louisiana",99,34,12,16,87,37
1500000US220710014015,2.2071E+11,"Block Group 5, Census Tract 14.01, Orleans Parish, Louisiana",44,36,0,12,44,36
1500000US220710014016,2.2071E+11,"Block Group 6, Census Tract 14.01, Orleans Parish, Louisiana",53,30,5,9,48,28
1500000US220710014021,2.2071E+11,"Block Group 1, Census Tract 14.02, Orleans Parish, Louisiana",240,57,14,15,226,60
1500000US220710014022,2.2071E+11,"Block Group 2, Census Tract 14.02, Orleans Parish, Louisiana",118,46,0,12,118,46
1500000US220710014023,2.2071E+11,"Block Group 3, Census Tract 14.02, Orleans Parish, Louisiana",136,53,4,7,132,52
1500000US220710014024,2.2071E+11,"Block Group 4, Census Tract 14.02, Orleans Parish, Louisiana",265,56,26,19,239,56
1500000US220710015001,2.2071E+11,"Block Group 1, Census Tract 15, Orleans Parish, Louisiana",219,53,2,5,217,52
1500000US220710015002,2.2071E+11,"Block Group 2, Census Tract 15, Orleans Parish, Louisiana",141,40,5,8,136,40
1500000US220710016001,2.2071E+11,"Block Group 1, Census Tract 16, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220710017011,2.2071E+11,"Block Group 1, Census Tract 17.01, Orleans Parish, Louisiana",229,48,47,26,182,42
1500000US220710017012,2.2071E+11,"Block Group 2, Census Tract 17.01, Orleans Parish, Louisiana",155,39,32,25,123,38
1500000US220710017013,2.2071E+11,"Block Group 3, Census Tract 17.01, Orleans Parish, Louisiana",180,42,18,13,162,43
1500000US220710017021,2.2071E+11,"Block Group 1, Census Tract 17.02, Orleans Parish, Louisiana",313,65,27,21,286,69
1500000US220710017022,2.2071E+11,"Block Group 2, Census Tract 17.02, Orleans Parish, Louisiana",306,65,17,27,289,65
1500000US220710017023,2.2071E+11,"Block Group 3, Census Tract 17.02, Orleans Parish, Louisiana",154,46,0,12,154,46
1500000US220710017024,2.2071E+11,"Block Group 4, Census Tract 17.02, Orleans Parish, Louisiana",150,49,37,31,113,44
1500000US220710017201,2.2071E+11,"Block Group 1, Census Tract 17.20, Orleans Parish, Louisiana",192,64,34,21,158,67
1500000US220710017202,2.2071E+11,"Block Group 2, Census Tract 17.20, Orleans Parish, Louisiana",235,74,17,19,218,73
1500000US220710017203,2.2071E+11,"Block Group 3, Census Tract 17.20, Orleans Parish, Louisiana",445,93,38,38,407,96
1500000US220710017204,2.2071E+11,"Block Group 4, Census Tract 17.20, Orleans Parish, Louisiana",321,95,41,39,280,99
1500000US220710017221,2.2071E+11,"Block Group 1, Census Tract 17.22, Orleans Parish, Louisiana",167,82,66,63,101,62
1500000US220710017222,2.2071E+11,"Block Group 2, Census Tract 17.22, Orleans Parish, Louisiana",253,81,86,62,167,79
1500000US220710017223,2.2071E+11,"Block Group 3, Census Tract 17.22, Orleans Parish, Louisiana",431,80,41,39,390,79
