Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With other types of income,Margin of Error; Total: - With other types of income,Estimate; Total: - No other types of income,Margin of Error; Total: - No other types of income
1500000US220710133012,2.2071E+11,"Block Group 2, Census Tract 133.01, Orleans Parish, Louisiana",504,74,32,28,472,70
1500000US220710133013,2.2071E+11,"Block Group 3, Census Tract 133.01, Orleans Parish, Louisiana",180,41,9,14,171,44
1500000US220710133014,2.2071E+11,"Block Group 4, Census Tract 133.01, Orleans Parish, Louisiana",412,86,13,23,399,86
1500000US220710133021,2.2071E+11,"Block Group 1, Census Tract 133.02, Orleans Parish, Louisiana",523,71,20,22,503,73
1500000US220710133022,2.2071E+11,"Block Group 2, Census Tract 133.02, Orleans Parish, Louisiana",358,52,18,20,340,51
1500000US220710134001,2.2071E+11,"Block Group 1, Census Tract 134, Orleans Parish, Louisiana",239,70,14,17,225,70
1500000US220710134002,2.2071E+11,"Block Group 2, Census Tract 134, Orleans Parish, Louisiana",395,64,30,33,365,64
1500000US220710134003,2.2071E+11,"Block Group 3, Census Tract 134, Orleans Parish, Louisiana",815,124,37,28,778,125
1500000US220710135001,2.2071E+11,"Block Group 1, Census Tract 135, Orleans Parish, Louisiana",226,77,0,12,226,77
1500000US220710135002,2.2071E+11,"Block Group 2, Census Tract 135, Orleans Parish, Louisiana",342,95,30,27,312,91
1500000US220710135003,2.2071E+11,"Block Group 3, Census Tract 135, Orleans Parish, Louisiana",318,95,40,39,278,94
1500000US220710135004,2.2071E+11,"Block Group 4, Census Tract 135, Orleans Parish, Louisiana",416,133,8,13,408,133
1500000US220710136001,2.2071E+11,"Block Group 1, Census Tract 136, Orleans Parish, Louisiana",261,59,4,7,257,59
1500000US220710136002,2.2071E+11,"Block Group 2, Census Tract 136, Orleans Parish, Louisiana",166,45,22,20,144,45
1500000US220710137001,2.2071E+11,"Block Group 1, Census Tract 137, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220710137002,2.2071E+11,"Block Group 2, Census Tract 137, Orleans Parish, Louisiana",69,30,9,14,60,32
1500000US220710137003,2.2071E+11,"Block Group 3, Census Tract 137, Orleans Parish, Louisiana",278,63,41,42,237,66
1500000US220710137004,2.2071E+11,"Block Group 4, Census Tract 137, Orleans Parish, Louisiana",455,81,29,26,426,83
1500000US220710138001,2.2071E+11,"Block Group 1, Census Tract 138, Orleans Parish, Louisiana",245,56,10,10,235,57
1500000US220710138002,2.2071E+11,"Block Group 2, Census Tract 138, Orleans Parish, Louisiana",263,59,26,25,237,60
1500000US220710138003,2.2071E+11,"Block Group 3, Census Tract 138, Orleans Parish, Louisiana",306,64,13,15,293,66
1500000US220710139001,2.2071E+11,"Block Group 1, Census Tract 139, Orleans Parish, Louisiana",282,68,31,36,251,72
1500000US220710139002,2.2071E+11,"Block Group 2, Census Tract 139, Orleans Parish, Louisiana",590,92,16,15,574,93
1500000US220710140001,2.2071E+11,"Block Group 1, Census Tract 140, Orleans Parish, Louisiana",93,39,17,26,76,39
1500000US220710140002,2.2071E+11,"Block Group 2, Census Tract 140, Orleans Parish, Louisiana",422,74,34,28,388,75
1500000US220710140003,2.2071E+11,"Block Group 3, Census Tract 140, Orleans Parish, Louisiana",302,66,14,21,288,68
1500000US220710140004,2.2071E+11,"Block Group 4, Census Tract 140, Orleans Parish, Louisiana",50,38,0,12,50,38
1500000US220710141001,2.2071E+11,"Block Group 1, Census Tract 141, Orleans Parish, Louisiana",492,86,22,20,470,89
1500000US220710141002,2.2071E+11,"Block Group 2, Census Tract 141, Orleans Parish, Louisiana",142,69,15,16,127,70
1500000US220710141003,2.2071E+11,"Block Group 3, Census Tract 141, Orleans Parish, Louisiana",422,95,35,26,387,96
1500000US220710142001,2.2071E+11,"Block Group 1, Census Tract 142, Orleans Parish, Louisiana",204,61,0,12,204,61
1500000US220710142002,2.2071E+11,"Block Group 2, Census Tract 142, Orleans Parish, Louisiana",530,96,17,16,513,97
1500000US220710142003,2.2071E+11,"Block Group 3, Census Tract 142, Orleans Parish, Louisiana",203,73,26,32,177,68
1500000US220710143001,2.2071E+11,"Block Group 1, Census Tract 143, Orleans Parish, Louisiana",224,58,38,36,186,58
1500000US220710143002,2.2071E+11,"Block Group 2, Census Tract 143, Orleans Parish, Louisiana",76,32,0,12,76,32
1500000US220710143003,2.2071E+11,"Block Group 3, Census Tract 143, Orleans Parish, Louisiana",410,74,50,47,360,64
1500000US220710144001,2.2071E+11,"Block Group 1, Census Tract 144, Orleans Parish, Louisiana",142,47,8,13,134,44
1500000US220710144002,2.2071E+11,"Block Group 2, Census Tract 144, Orleans Parish, Louisiana",335,74,32,29,303,73
1500000US220710144003,2.2071E+11,"Block Group 3, Census Tract 144, Orleans Parish, Louisiana",330,76,19,18,311,76
1500000US220710145001,2.2071E+11,"Block Group 1, Census Tract 145, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220719800001,2.2072E+11,"Block Group 1, Census Tract 9800, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220719801001,2.2072E+11,"Block Group 1, Census Tract 9801, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220719900000,2.2072E+11,"Block Group 0, Census Tract 9900, Orleans Parish, Louisiana",0,12,0,12,0,12
