Id,Id,Year,Total,White,Black or African American,American Indian or Alaskan Native,Asian,,Hispanic,Some other race
2.2071E+11,1500000US220710006112,1990,2831,67,1982,0,782,,0,0
2.2071E+11,1500000US220710081021,1990,114,0,114,0,0,,12,0
2.2071E+11,1500000US220710006071,1990,842,571,271,0,0,,26,0
2.2071E+11,1500000US220710100003,1990,428,10,411,0,7,,0,0
2.2071E+11,1500000US220710109002,1990,476,228,248,0,0,,0,0
2.2071E+11,1500000US220710109005,1990,384,297,87,0,0,,7,0
2.2071E+11,1500000US220710083002,1990,418,357,54,0,7,,18,0
2.2071E+11,1500000US220710120003,1990,435,388,47,0,0,,10,0
2.2071E+11,1500000US220710006012,1990,209,0,209,0,0,,0,0
2.2071E+11,1500000US220710101002,1990,779,354,366,0,20,,70,39
2.2071E+11,1500000US220710006131,1990,503,359,144,0,0,,0,0
2.2071E+11,1500000US220710101003,1990,694,614,72,0,8,,8,0
2.2071E+11,1500000US220710117003,1990,640,640,0,0,0,,21,0
2.2071E+11,1500000US220710100004,1990,398,277,121,0,0,,4,0
2.2071E+11,1500000US220710081012,1990,2650,12,2638,0,0,,0,0
2.2071E+11,1500000US220710090002,1990,879,713,138,0,9,,52,19
2.2071E+11,1500000US220710006031,1990,1285,48,1195,0,0,,148,42
2.2071E+11,1500000US220710100002,1990,456,0,456,0,0,,0,0
2.2071E+11,1500000US220710083001,1990,265,251,0,7,7,,12,0
2.2071E+11,1500000US220710006072,1990,1233,1175,0,0,58,,9,0
2.2071E+11,1500000US220710100005,1990,633,0,623,10,0,,0,0
2.2071E+11,1500000US220710082003,1990,267,230,13,0,0,,13,24
2.2071E+11,1500000US220710091005,1990,531,95,421,0,0,,23,15
2.2071E+11,1500000US220710006062,1990,1481,1273,203,0,0,,85,5
2.2071E+11,1500000US220710091003,1990,535,286,249,0,0,,16,0
2.2071E+11,1500000US220710135982,1990,0,0,0,0,0,,0,0
2.2071E+11,1500000US220710090001,1990,603,596,0,7,0,,7,0
2.2071E+11,1500000US220710006032,1990,1251,136,984,0,48,,212,83
2.2071E+11,1500000US220710081011,1990,1219,33,1186,0,0,,6,0
2.2071E+11,1500000US220710136981,1990,0,0,0,0,0,,0,0
2.2071E+11,1500000US220710091001,1990,486,8,478,0,0,,0,0
2.2071E+11,1500000US220710100001,1990,559,0,559,0,0,,0,0
2.2071E+11,1500000US220710077005,1990,361,62,299,0,0,,11,0
2.2071E+11,1500000US220710006042,1990,1898,1115,592,7,61,,312,123
2.2071E+11,1500000US220710078003,1990,252,190,50,0,0,,12,12
2.2071E+11,1500000US220710078002,1990,249,147,102,0,0,,19,0
2.2071E+11,1500000US220710091004,1990,628,0,628,0,0,,30,0
2.2071E+11,1500000US220710101001,1990,814,209,605,0,0,,0,0
2.2071E+11,1500000US220710117004,1990,657,657,0,0,0,,8,0
2.2071E+11,1500000US220710101004,1990,388,166,207,0,15,,0,0
2.2071E+11,1500000US220710091002,1990,399,194,205,0,0,,0,0
2.2071E+11,1500000US220710109001,1990,922,133,789,0,0,,7,0
2.2071E+11,1500000US220710109006,1990,616,80,536,0,0,,16,0
2.2071E+11,1500000US220710082002,1990,487,322,120,6,0,,89,39
2.2071E+11,1500000US220710092004,1990,424,0,424,0,0,,40,0
2.2071E+11,1500000US220710092002,1990,448,0,448,0,0,,0,0
2.2071E+11,1500000US220710102004,1990,653,95,530,0,0,,28,28
2.2071E+11,1500000US220710084003,1990,411,33,378,0,0,,0,0
2.2071E+11,1500000US220710111002,1990,364,19,338,0,7,,0,0
2.2071E+11,1500000US220710102003,1990,573,10,563,0,0,,0,0
2.2071E+11,1500000US220710117001,1990,771,734,37,0,0,,24,0
2.2071E+11,1500000US220710006063,1990,1452,1175,140,6,123,,39,8
2.2071E+11,1500000US220710092003,1990,354,9,345,0,0,,0,0
2.2071E+11,1500000US220710092005,1990,458,22,408,0,0,,0,28
2.2071E+11,1500000US220710111003,1990,633,69,564,0,0,,6,0
2.2071E+11,1500000US220710084002,1990,630,318,290,0,22,,8,0
2.2071E+11,1500000US220710120002,1990,527,450,77,0,0,,8,0
2.2071E+11,1500000US220710082001,1990,788,665,100,0,0,,71,23
2.2071E+11,1500000US220710135981,1990,0,0,0,0,0,,0,0
2.2071E+11,1500000US220710079002,1990,312,274,38,0,0,,11,0
2.2071E+11,1500000US220710006073,1990,1895,1716,146,5,22,,59,6
2.2071E+11,1500000US220710092001,1990,500,0,490,0,0,,10,10
2.2071E+11,1500000US220710102002,1990,705,0,705,0,0,,0,0
2.2071E+11,1500000US220710084001,1990,621,254,361,6,0,,0,0
2.2071E+11,1500000US220710078004,1990,423,362,56,0,5,,51,0
2.2071E+11,1500000US220710078001,1990,210,57,153,0,0,,0,0
2.2071E+11,1500000US220710117005,1990,508,508,0,0,0,,24,0
2.2071E+11,1500000US220710120001,1990,641,619,22,0,0,,42,0
2.2071E+11,1500000US220710077002,1990,237,17,220,0,0,,0,0
2.2071E+11,1500000US220710006043,1990,1166,86,1061,0,0,,31,19
2.2071E+11,1500000US220710006011,1990,2810,0,2805,5,0,,0,0
2.2071E+11,1500000US220710111004,1990,529,51,478,0,0,,0,0
2.2071E+11,1500000US220710077004,1990,0,0,0,0,0,,0,0
2.2071E+11,1500000US220710085004,1990,339,0,339,0,0,,0,0
2.2071E+11,1500000US220710119002,1990,829,806,15,0,8,,6,0
2.2071E+11,1500000US220710093013,1990,370,0,364,6,0,,0,0
2.2071E+11,1500000US220710003003,1990,348,37,300,11,0,,0,0
2.2071E+11,1500000US220710003002,1990,391,53,338,0,0,,0,0
2.2071E+11,1500000US220710079001,1990,198,43,155,0,0,,0,0
2.2071E+11,1500000US220710125002,1990,767,275,492,0,0,,43,0
2.2071E+11,1500000US220710077003,1990,191,17,118,0,0,,51,56
2.2071E+11,1500000US220710102005,1990,380,22,358,0,0,,0,0
2.2071E+11,1500000US220710135983,1990,0,0,0,0,0,,0,0
2.2071E+11,1500000US220710111001,1990,483,47,436,0,0,,0,0
2.2071E+11,1500000US220710093022,1990,1885,22,1863,0,0,,8,0
2.2071E+11,1500000US220710085003,1990,527,0,527,0,0,,34,0
2.2071E+11,1500000US220710125001,1990,697,588,97,6,6,,20,0
2.2071E+11,1500000US220710093014,1990,196,0,196,0,0,,0,0
2.2071E+11,1500000US220710093012,1990,311,0,311,0,0,,6,0
2.2071E+11,1500000US220710125003,1990,333,0,333,0,0,,0,0
2.2071E+11,1500000US220710119001,1990,526,526,0,0,0,,29,0
2.2071E+11,1500000US220710093021,1990,1951,0,1951,0,0,,0,0
2.2071E+11,1500000US220710006041,1990,1599,347,1213,8,19,,62,12
2.2071E+11,1500000US220710067001,1990,217,202,15,0,0,,94,0
2.2071E+11,1500000US220710079003,1990,431,100,317,14,0,,43,0
2.2071E+11,1500000US220710085002,1990,546,0,546,0,0,,0,0
2.2071E+11,1500000US220710080005,1990,245,9,236,0,0,,0,0
2.2071E+11,1500000US220710121023,1990,341,314,18,0,0,,9,9
