Id,Year,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Hispanic,Estimate; Total: - Some Other Race alone,Estimate; Total: - Two or More Races:
1500000US220710064003,2010,476,108,320,3,1,0,64,34,10
1500000US220710064004,2010,785,198,513,2,1,0,158,48,23
1500000US220710065001,2010,753,394,252,0,8,0,102,55,44
1500000US220710065002,2010,842,587,189,3,8,1,134,29,25
1500000US220710065003,2010,786,202,486,2,13,0,144,56,27
1500000US220710069001,2010,247,10,234,0,0,0,10,0,3
1500000US220710069002,2010,46,1,20,0,0,0,25,25,0
1500000US220710069003,2010,513,14,481,4,0,3,19,8,3
1500000US220710070001,2010,573,12,528,2,5,0,18,1,25
1500000US220710070002,2010,1064,77,961,1,3,1,38,6,15
1500000US220710071011,2010,647,76,549,0,4,0,27,7,11
1500000US220710071012,2010,1125,188,816,3,9,0,140,88,21
1500000US220710072001,2010,1108,106,913,2,19,0,95,42,26
1500000US220710072002,2010,443,5,431,0,0,0,9,4,3
1500000US220710072003,2010,426,22,390,1,5,0,29,2,6
1500000US220710075011,2010,540,52,475,0,0,0,25,2,11
1500000US220710075012,2010,449,6,427,4,0,0,14,4,8
1500000US220710075013,2010,349,4,334,0,2,0,6,3,6
1500000US220710075014,2010,418,1,410,0,0,0,5,6,1
1500000US220710075015,2010,240,0,239,0,0,0,0,0,1
1500000US220710075021,2010,404,14,374,0,2,0,14,8,6
1500000US220710075022,2010,304,2,295,1,0,0,2,2,4
1500000US220710075023,2010,471,13,453,2,0,0,1,0,3
1500000US220710075024,2010,450,8,436,0,0,0,13,6,0
1500000US220710075025,2010,752,28,677,2,1,0,38,30,14
1500000US220710076041,2010,927,835,43,0,33,0,50,6,10
1500000US220710076042,2010,715,678,23,1,3,0,19,1,9
1500000US220710076051,2010,513,8,491,3,0,0,19,5,6
1500000US220710076052,2010,757,71,680,0,1,0,17,0,5
1500000US220710076061,2010,1268,1084,121,3,28,1,89,18,13
1500000US220710076062,2010,679,541,75,3,38,0,43,7,15
1500000US220710076063,2010,1200,914,161,3,65,4,130,36,17
1500000US220710077001,2010,1184,930,149,5,48,1,75,18,33
1500000US220710077002,2010,1304,836,346,7,48,1,128,33,33
1500000US220710078001,2010,1201,904,173,2,25,2,117,45,50
1500000US220710082001,2010,785,577,137,11,23,0,69,22,15
1500000US220710082002,2010,762,585,120,0,23,0,70,15,19
1500000US220710083001,2010,582,535,20,3,6,0,21,4,14
1500000US220710083002,2010,545,239,278,1,5,3,40,6,13
1500000US220710084001,2010,543,185,293,2,38,1,34,6,18
1500000US220710084002,2010,542,193,299,1,27,0,37,10,12
1500000US220710085001,2010,633,32,565,8,1,0,55,7,20
1500000US220710085002,2010,472,22,422,11,1,0,46,6,10
1500000US220710086001,2010,419,21,330,1,0,3,73,50,14
1500000US220710086002,2010,481,20,436,6,4,0,33,6,9
1500000US220710088001,2010,806,525,207,2,4,1,83,33,34
1500000US220710088002,2010,888,493,339,3,7,0,69,21,25
1500000US220710090001,2010,537,503,15,1,4,0,20,7,7
1500000US220710090002,2010,653,605,22,1,6,0,20,8,11
1500000US220710090003,2010,736,656,27,1,17,0,57,18,17
1500000US220710091001,2010,627,269,311,1,9,0,41,21,16
1500000US220710091002,2010,538,272,225,5,12,0,44,15,9
1500000US220710091003,2010,360,7,327,5,5,0,23,10,6
1500000US220710091004,2010,424,175,213,6,11,0,34,11,8
1500000US220710092001,2010,313,4,295,0,2,0,18,1,11
1500000US220710092002,2010,432,8,410,0,0,0,7,4,10
1500000US220710092003,2010,365,7,341,2,1,0,27,10,4
1500000US220710094001,2010,248,19,203,2,0,0,30,22,2
1500000US220710094002,2010,170,0,168,0,0,0,5,0,2
1500000US220710094003,2010,236,10,224,0,0,0,0,0,2
1500000US220710094004,2010,387,4,373,0,0,0,11,6,4
1500000US220710096001,2010,503,370,103,0,12,0,28,4,14
1500000US220710096002,2010,504,248,233,2,3,0,35,9,9
1500000US220710096003,2010,398,153,229,1,7,0,13,2,6
1500000US220710097001,2010,647,382,241,0,9,0,41,11,4
1500000US220710097002,2010,647,293,316,5,3,0,30,14,16
1500000US220710099001,2010,1259,963,247,1,18,0,55,13,17
1500000US220710099002,2010,874,754,90,2,9,1,46,10,8
1500000US220710099003,2010,865,723,102,0,15,3,43,5,17
1500000US220710100001,2010,338,9,319,1,0,0,12,7,2
1500000US220710100002,2010,326,25,287,0,1,0,39,11,2
1500000US220710100003,2010,586,276,268,1,7,0,55,26,8
1500000US220710100004,2010,283,12,262,2,0,0,9,6,1
1500000US220710101001,2010,930,451,438,2,13,0,65,14,12
1500000US220710101002,2010,1149,867,200,5,30,0,76,29,18
1500000US220710102001,2010,298,5,290,3,0,0,1,0,0
1500000US220710102002,2010,321,19,291,0,1,1,5,5,4
1500000US220710102003,2010,256,28,221,0,7,0,13,0,0
1500000US220710102004,2010,457,117,315,0,5,1,30,7,12
1500000US220710102005,2010,342,61,271,0,0,0,11,9,1
1500000US220710103001,2010,648,20,609,2,1,0,16,10,6
1500000US220710103002,2010,708,35,639,0,0,0,46,28,6
1500000US220710103003,2010,515,92,400,1,8,0,32,9,5
1500000US220710103004,2010,327,60,257,0,1,1,19,5,3
1500000US220710106001,2010,650,452,175,0,4,0,20,8,11
1500000US220710106002,2010,655,366,255,2,8,0,35,10,14
1500000US220710107001,2010,828,641,137,4,15,1,43,8,22
1500000US220710107002,2010,936,668,212,3,14,0,55,16,23
1500000US220710108001,2010,480,459,15,0,6,0,25,0,0
1500000US220710108002,2010,932,797,86,1,15,0,48,10,23
1500000US220710109001,2010,534,130,360,3,6,0,51,25,10
1500000US220710109002,2010,1001,762,199,4,13,0,54,11,12
1500000US220710109003,2010,824,723,67,0,8,0,36,9,17
1500000US220710109004,2010,449,174,252,3,8,0,14,3,9
1500000US220710111001,2010,552,77,438,0,0,0,44,19,18
1500000US220710111002,2010,637,158,462,1,5,0,28,3,8
1500000US220710111003,2010,526,134,347,12,2,0,43,14,17
1500000US220710112001,2010,613,425,139,1,15,1,39,15,17
1500000US220710112002,2010,670,352,277,0,4,1,51,8,28
1500000US220710114001,2010,820,740,38,1,14,0,56,11,16
1500000US220710114002,2010,1056,981,38,7,10,0,34,10,10
1500000US220710115001,2010,673,649,2,0,12,0,22,1,9
1500000US220710115002,2010,837,728,85,1,10,0,39,3,10
1500000US220710116001,2010,713,667,22,0,13,0,19,1,10
1500000US220710116002,2010,734,691,20,0,19,0,26,2,2
1500000US220710117001,2010,692,655,8,1,18,0,41,8,2
1500000US220710117002,2010,572,549,2,0,14,0,8,1,6
1500000US220710117003,2010,693,679,2,1,7,0,17,1,3
1500000US220710117004,2010,967,912,19,0,20,0,35,6,10
1500000US220710119001,2010,524,468,21,4,15,0,17,10,6
1500000US220710119002,2010,696,622,11,0,31,0,63,13,19
1500000US220710119003,2010,521,469,7,0,20,0,29,11,14
1500000US220710120001,2010,943,856,49,0,16,0,44,3,19
1500000US220710120002,2010,553,491,43,0,14,0,30,2,3
1500000US220710121011,2010,1004,855,55,5,41,0,59,18,30
1500000US220710121012,2010,1851,1574,110,3,100,3,96,22,39
1500000US220710121021,2010,1982,1690,102,5,117,1,67,15,52
1500000US220710121022,2010,1106,818,189,5,30,5,126,28,31
1500000US220710121023,2010,804,723,29,2,23,0,60,8,19
1500000US220710122001,2010,1078,880,121,5,28,0,64,19,25
1500000US220710122002,2010,890,749,64,3,42,0,41,4,28
1500000US220710123001,2010,490,44,417,3,3,0,37,19,4
1500000US220710123002,2010,705,207,435,10,12,0,44,17,24
1500000US220710123003,2010,705,515,131,5,15,1,75,19,19
1500000US220710124001,2010,612,179,400,5,18,0,30,1,9
1500000US220710124002,2010,1008,563,388,5,14,0,46,11,27
1500000US220710125001,2010,620,535,34,2,26,1,41,5,17
1500000US220710125002,2010,1114,684,350,1,37,0,55,8,34
1500000US220710126001,2010,667,553,81,1,17,1,29,4,10
1500000US220710126002,2010,670,484,117,2,38,0,34,7,22
1500000US220710126003,2010,605,520,33,2,23,0,44,11,16
1500000US220710127001,2010,685,389,249,0,16,0,42,10,21
1500000US220710127002,2010,523,286,213,1,19,0,14,2,2
1500000US220710127003,2010,619,439,110,2,40,0,37,10,18
1500000US220710127004,2010,484,420,42,6,3,0,25,4,9
1500000US220710128001,2010,711,459,199,0,24,0,48,13,16
1500000US220710128002,2010,550,422,49,9,46,1,40,15,8
1500000US220710128003,2010,900,646,171,7,23,0,75,22,31
1500000US220710129001,2010,796,626,121,3,23,1,35,3,19
1500000US220710129002,2010,601,240,339,0,5,0,25,1,16
1500000US220710130001,2010,464,210,236,0,5,0,11,4,9
1500000US220710130002,2010,537,216,290,2,11,0,31,2,16
1500000US220710130003,2010,489,140,308,3,3,1,21,11,23
