Id,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Hispanic,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710013022,"Block Group 2, Census Tract 13.02, Orleans Parish, Louisiana",487,169,38,31,442,178,0,12,7,10,0,12,4,0,12,0,12,0,12,0,12
1500000US220710014011,"Block Group 1, Census Tract 14.01, Orleans Parish, Louisiana",229,116,0,12,229,116,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710014012,"Block Group 2, Census Tract 14.01, Orleans Parish, Louisiana",210,111,2,2,208,111,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710014013,"Block Group 3, Census Tract 14.01, Orleans Parish, Louisiana",308,86,0,12,308,86,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710014014,"Block Group 4, Census Tract 14.01, Orleans Parish, Louisiana",244,131,9,14,230,130,0,12,0,12,0,12,0,5,8,0,12,0,12,0,12
1500000US220710014015,"Block Group 5, Census Tract 14.01, Orleans Parish, Louisiana",73,84,0,12,22,19,0,12,0,12,0,12,0,51,82,0,12,0,12,0,12
1500000US220710014016,"Block Group 6, Census Tract 14.01, Orleans Parish, Louisiana",82,49,0,12,82,49,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710014021,"Block Group 1, Census Tract 14.02, Orleans Parish, Louisiana",538,213,66,51,394,187,0,12,0,12,0,12,20,0,12,78,109,0,12,78,109
1500000US220710014022,"Block Group 2, Census Tract 14.02, Orleans Parish, Louisiana",226,107,77,91,149,68,0,12,0,12,0,12,0,0,12,0,12,0,12,0,12
1500000US220710014023,"Block Group 3, Census Tract 14.02, Orleans Parish, Louisiana",347,168,7,10,322,166,0,12,0,12,0,12,15,0,12,18,19,0,12,18,19
