Id,Year,Total,White,Black or African American,American Indian or Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Some other race,Two or more races
1500000US220710018002,2014,514,465,0,17,6,0,38,0,26
1500000US220710019001,2014,220,104,116,0,0,0,0,0,0
1500000US220710019002,2014,508,151,352,5,0,0,34,0,0
1500000US220710019003,2014,611,149,430,0,0,0,152,25,7
1500000US220710020001,2014,459,60,378,0,0,0,0,0,21
1500000US220710020002,2014,364,47,304,0,0,0,1,0,13
1500000US220710020003,2014,261,43,218,0,0,0,0,0,0
1500000US220710021001,2014,376,2,374,0,0,0,0,0,0
1500000US220710021002,2014,341,20,321,0,0,0,0,0,0
1500000US220710022001,2014,231,25,206,0,0,0,5,0,0
1500000US220710022002,2014,404,8,396,0,0,0,0,0,0
1500000US220710022003,2014,190,4,186,0,0,0,9,0,0
1500000US220710023001,2014,180,0,180,0,0,0,0,0,0
1500000US220710023002,2014,179,46,119,0,0,0,0,0,14
1500000US220710023003,2014,120,0,120,0,0,0,0,0,0
1500000US220710023004,2014,229,0,229,0,0,0,0,0,0
1500000US220710023005,2014,1091,31,1016,0,0,0,52,32,12
1500000US220710024011,2014,1011,134,792,11,0,0,30,44,30
1500000US220710024012,2014,1022,67,928,0,0,0,18,0,27
1500000US220710024021,2014,371,82,289,0,0,0,59,0,0
1500000US220710024022,2014,876,66,810,0,0,0,0,0,0
1500000US220710024023,2014,639,35,604,0,0,0,26,0,0
1500000US220710024024,2014,1031,179,825,0,0,0,0,0,27
1500000US220710025011,2014,669,110,555,0,0,0,44,0,4
1500000US220710025012,2014,490,55,435,0,0,0,43,0,0
1500000US220710025013,2014,244,49,195,0,0,0,14,0,0
1500000US220710025014,2014,300,73,227,0,0,0,21,0,0
1500000US220710025021,2014,921,5,904,0,0,0,0,0,12
1500000US220710025022,2014,343,46,297,0,0,0,0,0,0
1500000US220710025023,2014,453,18,435,0,0,0,6,0,0
1500000US220710025024,2014,453,7,439,0,0,0,7,0,7
1500000US220710025031,2014,513,78,378,0,49,0,0,0,8
1500000US220710025032,2014,1125,230,895,0,0,0,0,0,0
1500000US220710025033,2014,690,319,356,0,0,0,55,15,0
1500000US220710025041,2014,621,56,559,0,0,0,93,0,6
1500000US220710025042,2014,740,200,514,14,0,0,15,0,12
1500000US220710025043,2014,391,186,177,0,3,0,27,12,13
1500000US220710025044,2014,498,97,363,0,0,0,23,0,38
1500000US220710026001,2014,615,540,43,0,32,0,0,0,0
1500000US220710026002,2014,702,553,101,0,48,0,21,0,0
1500000US220710027001,2014,541,24,503,0,0,0,19,14,0
1500000US220710027002,2014,658,235,423,0,0,0,0,0,0
1500000US220710027003,2014,298,61,237,0,0,0,52,0,0
1500000US220710028001,2014,357,0,357,0,0,0,0,0,0
1500000US220710028002,2014,718,0,703,0,15,0,0,0,0
1500000US220710028003,2014,461,5,455,0,1,0,0,0,0
1500000US220710029001,2014,551,10,541,0,0,0,0,0,0
1500000US220710029002,2014,318,0,318,0,0,0,0,0,0
1500000US220710029003,2014,567,24,543,0,0,0,40,0,0
1500000US220710030001,2014,460,46,396,0,0,0,30,0,18
1500000US220710030002,2014,685,4,670,11,0,0,11,0,0
1500000US220710031001,2014,340,0,321,0,0,0,16,19,0
1500000US220710031002,2014,753,1,626,0,0,0,0,7,119
1500000US220710033011,2014,820,546,228,0,46,0,46,0,0
1500000US220710033012,2014,652,206,446,0,0,0,31,0,0
1500000US220710033013,2014,361,156,205,0,0,0,47,0,0
1500000US220710033021,2014,655,47,608,0,0,0,8,0,0
1500000US220710033022,2014,1298,9,1284,0,0,0,6,0,5
1500000US220710033023,2014,1105,143,923,0,23,0,23,3,13
1500000US220710033024,2014,529,96,375,0,29,0,55,19,10
1500000US220710033031,2014,890,295,523,6,61,0,96,5,0
1500000US220710033032,2014,610,97,438,0,17,0,17,49,9
1500000US220710033033,2014,428,58,337,0,0,0,40,28,5
