id,USExporterSiteName,US Exporter Site Street Address,US Exporter Site City,US Exporter Site State,US Exporter Site Zip Code,latitude,longitude
NJD980755367,JOHNSON MATTHEY INCORPORATED,2001 NOLTE DRIVE,WEST DEPTFORD,NJ,8066,39.81623,-75.210403
NJD001599604,HAWARD CORPORATION,29 PORETE AVENUE,NORTH ARLINGTON,NJ,7031,40.7762909,-74.1279221
OHD000816629,"SPRING GROVE RESOURCE RECOVERY, INC.",4879 SPRING GROVE AVENUE,CINCINNATI,OH,45232,39.1701736,-84.5101013
NJR000031377,"MID ATLANTIC RECYCLING TECHNOLOGIES, INC.",3137 CHAMMINGS COURT,VINELAND,NJ,8360,39.5331726,-75.0543976
NYD990774200,U.S. CHROME CORPORATION,31 SWAN STREET,BATAVIA,NY,14020,42.9945946,-78.1760254
PAR000502336,U.S. CHROME CORPORATION,750 WEST WASHINGTON STREET,NORRISTOWN,PA,19104,40.1168823,-75.3564987
NJD041813775,ANDARN ELECTRO SERVICES,72 MICHIGAN AVENUE,PATERSON,NJ,7522,40.893856,-74.1543808
PAR000506733,"ADVANCED RECYCLING TECHNOLOGY, INC. (ARTI) - CHAMBERSBURG, PA FACILITY",1080 OPPORTUNITY AVENUE,CHAMBERSBURG,PA,17201,39.9913441,-77.6314719
MAD001011071,REED & BARTON CORP,144 WEST BRITANNIA STREET,TAUNTON,MA,2780,41.9191399,-71.1023941
NJD041829755,TRB ELECTRO CORPORTATION,6 MORRIS STREET,PATERSON,NJ,7543,40.9108765,-74.1786106
CAD088504881,"KINSBURSKY BROTHERS, INC.",1314 N. ANAHEIM BOULEVARD,ANAHEIM,CA,92801,33.8528734,-117.9197661
CTD001178706,THE MARLIN FIREARMS CO.,1100 KENNA DRIVE,NORTH HAVEN,CT,6473,41.3781509,-72.8655396
TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,DEER PARK,TX,77536,29.6941654,-95.0923502
OHD071654958,"TOXCO, INC. - LANCASTER, OH FACILITY",265 QUARRY ROAD,LANCASTER,OH,43130,39.7123299,-82.5458908
NJD002187417,B&B ELECTROPLAING COMPANY INC,559 PENNSYLVANIA AVENUE,LINDEN,NJ,7036,40.6349716,-74.2468643
NYR000100891,RAW MATERIALS CO INC,812 E FERRY ST,BUFFALO,NY,14211,42.915123,-78.8339386
NYR000049007,APPLIED COATINGS INC,465 PAUL ROAD,ROCHESTER,NY,14624,43.1052933,-77.7166519
CTD001139096,HAR-CONN CHROME COMPANY,603 NEW PARK AVENUE,WEST HARTFORD,CT,6110,41.7335623,-72.7236383
PAD002390961,BETHLEHEM APPARATUS COMPANY,890 FRONT STREET,HELLERTOWN,PA,18055,40.5812645,-75.3432388
CAD069124717,MICRO METALLICS CORPORATION,1695 MONTEREY HIGHWAY,SAN JOSE,CA,95112,37.3110214,-121.8688032
OHD000810283,PITTSBURGH CANFIELD CORPORATION,460 WEST MAIN STREET,CANFIELD,OH,44406,41.027172,-80.776954
PAR000015768,BAYWAY REFINING COMPANY,4101 POST ROAD,TRAINER,PA,19061,39.8264708,-75.4049575
OHD020273819,"CHEMICAL WASTE MANAGEMENT - VICKERY, OH FACILITY",3956 STATE ROUTE 412,VICKERY,OH,43464,41.3684196,-82.9832153
KYD005013032,AK STEEL CORPORATION,40TH STREET & WINCHESTER AVENUE,ASHLAND,KY,41105-0191,38.4540199,-82.6126103
TND982109142,"DIVERSIFIED SCIENTIFIC SERVICES, INC. (DSSI)",657 GALLAHER ROAD,KINGSTON,TN,37763,35.8761139,-84.4378128
PAD000736942,CALGON CARBON CORP,200 NEVILLE ROAD,PITTSBURGH,PA,15225,40.496242,-80.080528
OHD000721803,INTERNATIONAL SPECIALTY PRODUCTS (ISP) FINE CHEMICALS INC,1979 ATLAS STREET,COLUMBUS,OH,43228,39.9903526,-83.1459808
OHD048415665,"ROSS INCINERATION SERVICES, INC.",36790 GILES ROAD,GRAFTON,OH,44090,41.3230019,-82.0354996
KYD041376138,ASHLAND PETROLEUM CO.,11631 US ROUTE 23 SOUTH,CATLETTSBURG,KY,41129,38.3526001,-82.6120377
MAD001065937,"REVERE COPPER PRODUCTS, INC.",24 NORTH FRONT STREET,NEW BEDFORD,MA,2740,41.6495749,-70.9240805
MAD019725365,"WOBURN STEEL DRUM, INC.",211 NEW BOSTON STREET,WOBURN,MA,1801,42.5161667,-71.1446838
