receivingfacilityzipcode,zippedTract,stateID,zipPov,statePov,ntlPov,datasetZipPov,datasetStatePov,zipRace,stateRace,ntlRace,datasetZipRace,datasetStateRace,receivingFacilityAddress,addressZip,zippedTract,addressedTract,povTractFinal,datasetTractPov,raceTractFinal,datasetTractRace
48220,26125173600,26,15.9,16.8,15.8,17.77,16.48,29.15,23.48,30.71,37.77,32.1,null,null,null,null,null,null,null,null
53182,55101980000,55,5.3,12.2,15.8,17.77,16.48,7.14,16.7,30.71,37.77,32.1,null,null,null,null,null,null,null,null
18014,42095016600,42,6.3,13.3,15.8,17.77,16.48,6.1,20.59,30.71,37.77,32.1,null,null,null,null,null,null,null,null
55113,27123042201,27,10.1,12.4,15.8,17.77,16.48,20.03,16.99,30.71,37.77,32.1,null,null,null,null,null,null,null,null
43725,39059978000,39,20.2,16.2,15.8,17.77,16.48,5.41,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
43025,39089759100,39,10.4,16.2,15.8,17.77,16.48,3.94,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
35954,1055011002,1,18.1,18.1,15.8,17.77,16.48,13.82,32.97,30.71,37.77,32.1,null,null,null,null,null,null,null,null
29150,45085002000,45,19,21.5,15.8,17.77,16.48,56.66,35.91,30.71,37.77,32.1,null,null,null,null,null,null,null,null
36079,1109189300,1,21.6,18.1,15.8,17.77,16.48,34.47,32.97,30.71,37.77,32.1,null,null,null,null,null,null,null,null
44044,39093095100,39,3.5,16.2,15.8,17.77,16.48,19.77,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
14305,36063024406,36,22.3,15.3,15.8,17.77,16.48,34.69,41.74,30.71,37.77,32.1,null,null,null,null,null,null,null,null
43920,39029952400,39,18.6,16.2,15.8,17.77,16.48,5.93,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
71923,5059020600,5,23.3,20.8,15.8,17.77,16.48,28.59,25.5,30.71,37.77,32.1,null,null,null,null,null,null,null,null
14546,36055014700,36,5,15.3,15.8,17.77,16.48,8.28,41.74,30.71,37.77,32.1,null,null,null,null,null,null,null,null
77087,48201333600,48,23.3,19.2,15.8,17.77,16.48,93.24,54.72,30.71,37.77,32.1,null,null,null,null,null,null,null,null
44115,39035980100,39,61.3,16.2,15.8,17.77,16.48,81.78,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
37763,47145030600,47,9.5,19.9,15.8,17.77,16.48,6.94,24.42,30.71,37.77,32.1,null,null,null,null,null,null,null,null
90670,6037552400,6,7.3,14.8,15.8,17.77,16.48,87.85,59.87,30.71,37.77,32.1,null,null,null,null,null,null,null,null
18071,42089301302,42,11,13.3,15.8,17.77,16.48,6.13,20.59,30.71,37.77,32.1,null,null,null,null,null,null,null,null
92801,6059110402,6,19.9,14.8,15.8,17.77,16.48,80.2,59.87,30.71,37.77,32.1,null,null,null,null,null,null,null,null
45232,39061008000,39,54.8,16.2,15.8,17.77,16.48,81.47,18.9,30.71,37.77,32.1,null,null,null,null,null,null,null,null
55016,27163071400,27,6,12.4,15.8,17.77,16.48,17.85,16.99,30.71,37.77,32.1,null,null,null,null,null,null,null,null
2888,44003021300,44,7.1,13.3,15.8,17.77,16.48,13.71,23.63,30.71,37.77,32.1,null,null,null,null,null,null,null,null
27834,37147002002,37,31.1,19.8,15.8,17.77,16.48,62.9,34.75,30.71,37.77,32.1,null,null,null,null,null,null,null,null
37887,47129110500,47,15.3,19.9,15.8,17.77,16.48,13.33,24.42,30.71,37.77,32.1,null,null,null,null,null,null,null,null
77507,48201343700,48,0,19.2,15.8,17.77,16.48,0,54.72,30.71,37.77,32.1,null,null,null,null,null,null,null,null
91702,6037930301,6,16.1,14.8,15.8,17.77,16.48,81.96,59.87,30.71,37.77,32.1,null,null,null,null,null,null,null,null
