coastal_exposure_s2,coastal_exposure_no_habitats_s2,habitat_role_s2,coastal_exposure_s1,coastal_exposure_no_habitats_s1,habitat_role_s1,s1_habitat_role_percent,exposure_diff_percent,latitude,longitude
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.301502,-126.064604
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.301866,-126.050869
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.302228,-126.037133
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.30366,-125.982186
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.3078,-125.817322
2.26493,2.26493,0,2.26493,2.26493,0,0,0,49.308135,-125.803582
3.32447,3.32447,0,3.32447,3.32447,0,0,0,49.287644,-126.242551
2.45457,2.5423,0.0877364,2.45457,2.5423,0.0877364,3.451063997,0,49.292154,-126.07778
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.292883,-126.050314
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.293245,-126.03658
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.293606,-126.022847
2.72004,2.72004,0,2.72004,2.72004,0,0,0,49.29848,-125.830547
2.26493,2.26493,0,2.26493,2.26493,0,0,0,49.298816,-125.81681
3.30193,3.32447,0.0225418,3.20974,3.32447,0.114729,3.451046332,2.792003465,49.279048,-126.228235
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.283901,-126.049759
2.72004,2.72004,0,2.72004,2.72004,0,0,0,49.289158,-125.843767
2.26493,2.26493,0,2.26493,2.26493,0,0,0,49.289832,-125.816297
3.30193,3.32447,0.0225418,3.20974,3.32447,0.114729,3.451046332,2.792003465,49.27045,-126.213924
2.9735,2.9938,0.0202997,2.89048,2.9938,0.103318,3.451065535,2.791995964,49.271589,-126.172748
3.18138,3.2031,0.0217187,3.09256,3.2031,0.110541,3.451063033,2.791870195,49.271965,-126.159022
2.3722,2.5423,0.170103,2.36238,2.5423,0.179925,7.077252881,0.413961723,49.27234,-126.145296
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.274918,-126.049205
3.09256,3.2031,0.110541,3.09256,3.2031,0.110541,3.451063033,0,49.278463,-125.911908
3.15387,3.2666,0.112732,3.13391,3.2666,0.132694,4.062144125,0.632873264,49.278809,-125.898177
3.15387,3.2666,0.112732,3.13391,3.2666,0.132694,4.062144125,0.632873264,49.279153,-125.884446
2.18677,2.26493,0.0781641,2.18677,2.26493,0.0781641,3.451060298,0,49.279835,-125.856982
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.280512,-125.829518
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.280847,-125.815785
3.4641,3.48775,0.023649,3.36739,3.48775,0.120364,3.451050104,2.791778528,49.26185,-126.199617
3.4641,3.48775,0.023649,3.36739,3.48775,0.120364,3.451050104,2.791778528,49.262229,-126.185895
3.18138,3.2031,0.0217187,3.09256,3.2031,0.110541,3.451063033,2.791870195,49.262984,-126.158448
3.1226,3.36042,0.237825,3.10999,3.36042,0.25043,7.452342267,0.403830142,49.265573,-126.062376
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.266298,-126.034925
3.03244,3.05315,0.0207019,2.94778,3.05315,0.105366,3.451058743,2.791811215,49.26948,-125.911379
3.03244,3.05315,0.0207019,2.94778,3.05315,0.105366,3.451058743,2.791811215,49.270511,-125.870193
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.271528,-125.829004
2.26493,2.26493,0,2.26493,2.26493,0,0,0,49.271863,-125.815273
3.33764,3.36042,0.0227854,3.24445,3.36042,0.11597,3.451056713,2.792092616,49.254377,-126.144153
3.4641,3.48775,0.023649,3.36739,3.48775,0.120364,3.451050104,2.791778528,49.25475,-126.130432
3.18138,3.2031,0.0217187,3.09256,3.2031,0.110541,3.451063033,2.791870195,49.255121,-126.11671
3.33764,3.36042,0.0227854,3.24445,3.36042,0.11597,3.451056713,2.792092616,49.255859,-126.089266
3.33764,3.36042,0.0227854,3.24445,3.36042,0.11597,3.451056713,2.792092616,49.256225,-126.075543
2.9735,2.9938,0.0202997,2.89048,2.9938,0.103318,3.451065535,2.791995964,49.257315,-126.034373
2.94778,3.05315,0.105366,2.94778,3.05315,0.105366,3.451058743,0,49.259801,-125.938302
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.260149,-125.924576
3.24445,3.2666,0.0221493,3.15387,3.2666,0.112732,3.451050021,2.791844535,49.261185,-125.883398
3.03244,3.05315,0.0207019,2.94778,3.05315,0.105366,3.451058743,2.791811215,49.261867,-125.855944
2.7016,2.72004,0.0184433,2.62617,2.72004,0.0938704,3.451066896,2.792049156,49.262206,-125.842217
2.24958,2.26493,0.0153575,2.18677,2.26493,0.0781641,3.451060298,2.792076743,49.262543,-125.82849
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.264532,-125.74612
3.4641,3.48775,0.023649,3.36739,3.48775,0.120364,3.451050104,2.791778528,49.246509,-126.102424
2.57512,2.66717,0.0920458,2.55882,2.66717,0.108344,4.062133272,0.632980211,49.248692,-126.020101
2.94778,3.05315,0.105366,2.94778,3.05315,0.105366,3.451058743,0,49.250817,-125.937768
3.03244,3.05315,0.0207019,2.94778,3.05315,0.105366,3.451058743,2.791811215,49.251512,-125.910322
3.03244,3.05315,0.0207019,2.94778,3.05315,0.105366,3.451058743,2.791811215,49.251858,-125.896598
3.24445,3.2666,0.0221493,3.15387,3.2666,0.112732,3.451050021,2.791844535,49.252201,-125.882874
3.2666,3.2666,0,3.2666,3.2666,0,0,0,49.252543,-125.86915
2.5423,2.5423,0,2.5423,2.5423,0,0,0,49.253559,-125.827976
2.37618,2.37618,0,2.37618,2.37618,0,0,0,49.25522,-125.759347
2.11693,2.11693,0,2.11693,2.11693,0,0,0,49.255547,-125.745621
3.08616,3.10723,0.0210688,3,3.10723,0.107233,3.451080223,2.791818959,49.238261,-126.074426
2.57512,2.66717,0.0920458,2.55882,2.66717,0.108344,4.062133272,0.632980211,49.240068,-126.005834
2.94778,3.05315,0.105366,2.94778,3.05315,0.105366,3.451058743,0,49.241484,-125.950955
2.75516,2.85364,0.0984807,2.73772,2.85364,0.115919,4.06214519,0.632994091,49.242182,-125.923514
2.62617,2.72004,0.0938704,2.60955,2.72004,0.110492,4.062146145,0.632860782,49.242529,-125.909793
3.05315,3.05315,0,3.05315,3.05315,0,0,0,49.243899,-125.854907
2.85364,2.85364,0,2.85364,2.85364,0,0,0,49.244238,-125.841185
3.03244,3.05315,0.0207019,2.94778,3.05315,0.105366,3.451058743,2.791811215,49.244575,-125.827462
2.52506,2.5423,0.0172381,2.45457,2.5423,0.0877364,3.451063997,2.791616833,49.24491,-125.81374
2.36006,2.37618,0.0161119,2.29417,2.37618,0.0820034,3.451060105,2.791878173,49.245906,-125.77257
2.10258,2.11693,0.014354,2.04388,2.11693,0.0730567,3.451068292,2.791808159,49.246235,-125.758846
3.08616,3.10723,0.0210688,3,3.10723,0.107233,3.451080223,2.791818959,49.228913,-126.087583
