longitude,latitude,stop_id,title,stop_lat,stop_lon,stoplatnum,stoplonnum,rr_name,stop_desc,url
-73.520021,41.070547,,Glenbrook,,,0,0,Metro-North Railroad,153,http://www.mta.info/mnr
-73.899062,40.950496,,Glenwood,,,0,0,Metro-North Railroad,19,http://www.mta.info/mnr
-73.677655,41.294338,,Golden's Bridge,,,0,0,Metro-North Railroad,88,http://www.mta.info/mnr
-73.977056,40.752998,,Grand Central Terminal,,,0,0,Metro-North Railroad,1,http://www.grandcentralterminal.com/
-73.72609711,40.78720093,25,Great Neck,40.78721,-73.7261,40.7872,-73.7261,Long Island Railroad,,http://www.mta.info/lirr
-73.17019653,40.74039841,121,Great River,40.74044,-73.17019,40.7404,-73.1702,Long Island Railroad,,http://www.mta.info/lirr
-73.315408,41.122265,,Green's Farms,,,0,0,Metro-North Railroad,136,http://www.mta.info/mnr
-73.3628006,40.86869812,61,Greenlawn,40.86866,-73.36285,40.8687,-73.3628,Long Island Railroad,,http://www.mta.info/lirr
-72.36309814,41.09970093,82,Greenport,41.0997,-72.3631,41.0997,-72.3631,Long Island Railroad,,http://www.mta.info/lirr
-73.62689972,40.81570053,46,Greenvale,40.81571,-73.62687,40.8157,-73.6269,Long Island Railroad,,http://www.mta.info/lirr
-73.624621,41.021277,,Greenwich,,,0,0,Metro-North Railroad,116,http://www.mta.info/mnr
-73.889989,40.97104,,Greystone,,,0,0,Metro-North Railroad,20,http://www.mta.info/mnr
-72.52390289,40.87659836,132,Hampton Bays,40.8766,-72.52395,40.8766,-72.5239,Long Island Railroad,,http://www.mta.info/lirr
-73.939149,40.805157,,Harlem-125th St.,,,0,0,Metro-North Railroad,4,http://www.mta.info/mnr
-73.712964,40.969432,,Harrison,,,0,0,Metro-North Railroad,112,http://www.mta.info/mnr
-73.796407,41.010333,,Hartsdale,,,0,0,Metro-North Railroad,72,http://www.mta.info/mnr
-73.884512,40.994109,,Hastings-on-Hudson,,,0,0,Metro-North Railroad,22,http://www.mta.info/mnr
-73.794327,41.097218,,Hawthorne,,,0,0,Metro-North Railroad,80,http://www.mta.info/mnr
-73.625,40.7132988,39,Hempstead,40.71329,-73.62503,40.7133,-73.625,Long Island Railroad,,http://www.mta.info/lirr
-73.64620209,40.69490051,91,Hempstead Gardens,40.69491,-73.64621,40.6949,-73.6462,Long Island Railroad,,http://www.mta.info/lirr
-73.70510101,40.63679886,94,Hewlett,40.63676,-73.70514,40.6368,-73.7051,Long Island Railroad,,http://www.mta.info/lirr
-73.52850342,40.76720047,56,Hicksville,40.76717,-73.52853,40.7672,-73.5285,Long Island Railroad,,http://www.mta.info/lirr
-73.57145,41.637525,,HM Valley-Wingdale,,,0,0,Metro-North Railroad,100,http://www.mta.info/mnr
-73.76670074,40.71020126,30,Hollis,40.71017,-73.76675,40.7102,-73.7667,Long Island Railroad,,http://www.mta.info/lirr
-73.94680023,40.74240112,2,Hunterspoint Avenue,40.74238,-73.94679,40.7424,-73.9468,Long Island Railroad,,http://www.mta.info/lirr
