GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710012001,220710012001,"Block Group 1, Census Tract 12, Orleans Parish, Louisiana",481,123,405,99,45,35,0,12,0,12,0,12,0,12,31,36,0,12,31,36
1500000US220710012002,220710012002,"Block Group 2, Census Tract 12, Orleans Parish, Louisiana",543,155,406,120,112,89,0,12,0,12,0,12,0,12,25,29,0,12,25,29
1500000US220710012003,220710012003,"Block Group 3, Census Tract 12, Orleans Parish, Louisiana",530,177,443,156,53,54,0,12,0,12,0,12,0,12,34,27,0,12,34,27
1500000US220710013011,220710013011,"Block Group 1, Census Tract 13.01, Orleans Parish, Louisiana",618,169,56,55,558,156,0,12,0,12,0,12,0,12,4,7,0,12,4,7
1500000US220710013012,220710013012,"Block Group 2, Census Tract 13.01, Orleans Parish, Louisiana",425,133,203,78,211,130,8,12,3,6,0,12,0,12,0,12,0,12,0,12
1500000US220710013013,220710013013,"Block Group 3, Census Tract 13.01, Orleans Parish, Louisiana",305,94,75,46,226,95,0,12,0,12,0,12,0,12,4,16,0,12,4,16
1500000US220710013014,220710013014,"Block Group 4, Census Tract 13.01, Orleans Parish, Louisiana",306,157,0,12,306,157,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710013021,220710013021,"Block Group 1, Census Tract 13.02, Orleans Parish, Louisiana",459,172,5,8,454,172,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710013022,220710013022,"Block Group 2, Census Tract 13.02, Orleans Parish, Louisiana",487,169,38,31,442,178,0,12,7,10,0,12,0,12,0,12,0,12,0,12
1500000US220710014011,220710014011,"Block Group 1, Census Tract 14.01, Orleans Parish, Louisiana",229,116,0,12,229,116,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710014012,220710014012,"Block Group 2, Census Tract 14.01, Orleans Parish, Louisiana",210,111,2,2,208,111,0,12,0,12,0,12,0,12,0,12,0,12,0,12
