GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1500000US220710006131,220710006131,"Block Group 1, Census Tract 6.13, Orleans Parish, Louisiana",780,772,145,581,5,25,0,16,8,8,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006132,220710006132,"Block Group 2, Census Tract 6.13, Orleans Parish, Louisiana",1057,1043,92,902,4,9,1,35,14,14,3,1,0,0,0,3,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006133,220710006133,"Block Group 3, Census Tract 6.13, Orleans Parish, Louisiana",1919,1909,364,1513,0,7,0,25,10,10,4,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006151,220710006151,"Block Group 1, Census Tract 6.15, Orleans Parish, Louisiana",1642,1613,657,843,6,72,2,33,29,24,5,0,11,0,4,2,0,0,2,0,0,0,0,0,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006152,220710006152,"Block Group 2, Census Tract 6.15, Orleans Parish, Louisiana",2372,2337,344,1892,7,30,0,64,35,29,9,3,3,0,5,4,0,3,2,0,0,0,0,0,0,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006161,220710006161,"Block Group 1, Census Tract 6.16, Orleans Parish, Louisiana",1152,1138,362,718,5,28,0,25,14,13,3,1,3,0,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006162,220710006162,"Block Group 2, Census Tract 6.16, Orleans Parish, Louisiana",1874,1858,294,1524,2,24,0,14,16,15,3,4,0,0,0,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006163,220710006163,"Block Group 3, Census Tract 6.16, Orleans Parish, Louisiana",1686,1646,958,575,7,73,0,33,40,33,8,9,2,0,5,0,2,0,7,0,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006171,220710006171,"Block Group 1, Census Tract 6.17, Orleans Parish, Louisiana",1652,1629,332,1243,3,19,3,29,23,20,9,0,4,0,2,0,2,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500000US220710006172,220710006172,"Block Group 2, Census Tract 6.17, Orleans Parish, Louisiana",2682,2628,232,2247,22,47,0,80,54,52,21,1,3,0,6,11,4,0,5,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
