Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710014014,2.21E+11,"Block Group 4, Census Tract 14.01, Orleans Parish, Louisiana",274,140,9,14,261,142,0,12,0,12,0,12,4,8,0,12,0,12,0,12
1500000US220710014015,2.21E+11,"Block Group 5, Census Tract 14.01, Orleans Parish, Louisiana",138,138,0,12,87,108,0,12,0,12,0,12,51,85,0,12,0,12,0,12
1500000US220710014016,2.21E+11,"Block Group 6, Census Tract 14.01, Orleans Parish, Louisiana",140,80,0,12,140,80,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710014021,2.21E+11,"Block Group 1, Census Tract 14.02, Orleans Parish, Louisiana",584,184,69,55,446,178,0,12,0,12,0,12,0,12,69,86,0,12,69,86
1500000US220710014022,2.21E+11,"Block Group 2, Census Tract 14.02, Orleans Parish, Louisiana",189,87,43,68,146,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710014023,2.21E+11,"Block Group 3, Census Tract 14.02, Orleans Parish, Louisiana",333,174,7,10,312,171,0,12,0,12,0,12,0,12,14,14,0,12,14,14
1500000US220710014024,2.21E+11,"Block Group 4, Census Tract 14.02, Orleans Parish, Louisiana",662,162,1,3,661,162,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710015001,2.21E+11,"Block Group 1, Census Tract 15, Orleans Parish, Louisiana",532,140,65,80,459,172,0,12,0,12,0,12,4,6,4,6,0,12,4,6
1500000US220710015002,2.21E+11,"Block Group 2, Census Tract 15, Orleans Parish, Louisiana",306,103,88,51,209,91,0,12,0,12,0,12,9,14,0,12,0,12,0,12
1500000US220710016001,2.21E+11,"Block Group 1, Census Tract 16, Orleans Parish, Louisiana",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017011,2.21E+11,"Block Group 1, Census Tract 17.01, Orleans Parish, Louisiana",918,219,67,46,833,209,0,12,0,12,0,12,0,12,18,21,18,21,0,12
1500000US220710017012,2.21E+11,"Block Group 2, Census Tract 17.01, Orleans Parish, Louisiana",534,157,18,23,511,160,0,12,0,12,0,12,0,12,5,7,5,7,0,12
1500000US220710017013,2.21E+11,"Block Group 3, Census Tract 17.01, Orleans Parish, Louisiana",498,136,9,15,489,139,0,12,0,12,0,12,0,12,0,12,0,12,0,12
