Id,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Some other race alone,Estimate; Total: - Hispanic
220710135982,0,0,0,0,0,0,0
220710090001,603,596,0,7,0,0,7
220710006032,1251,136,984,0,48,83,212
220710081011,1219,33,1186,0,0,0,6
220710136981,0,0,0,0,0,0,0
220710091001,486,8,478,0,0,0,0
220710100001,559,0,559,0,0,0,0
220710077005,361,62,299,0,0,0,11
220710006042,1898,1115,592,7,61,123,312
220710078003,252,190,50,0,0,12,12
220710078002,249,147,102,0,0,0,19
220710091004,628,0,628,0,0,0,30
220710101001,814,209,605,0,0,0,0
220710117004,657,657,0,0,0,0,8
220710101004,388,166,207,0,15,0,0
220710091002,399,194,205,0,0,0,0
220710109001,922,133,789,0,0,0,7
220710109006,616,80,536,0,0,0,16
220710082002,487,322,120,6,0,39,89
220710092004,424,0,424,0,0,0,40
220710092002,448,0,448,0,0,0,0
220710102004,653,95,530,0,0,28,28
220710084003,411,33,378,0,0,0,0
220710111002,364,19,338,0,7,0,0
220710102003,573,10,563,0,0,0,0
220710117001,771,734,37,0,0,0,24
220710006063,1452,1175,140,6,123,8,39
220710092003,354,9,345,0,0,0,0
220710092005,458,22,408,0,0,28,0
220710111003,633,69,564,0,0,0,6
220710084002,630,318,290,0,22,0,8
220710120002,527,450,77,0,0,0,8
220710082001,788,665,100,0,0,23,71
220710135981,0,0,0,0,0,0,0
220710079002,312,274,38,0,0,0,11
220710006073,1895,1716,146,5,22,6,59
220710092001,500,0,490,0,0,10,10
220710102002,705,0,705,0,0,0,0
220710084001,621,254,361,6,0,0,0
220710078004,423,362,56,0,5,0,51
220710078001,210,57,153,0,0,0,0
220710117005,508,508,0,0,0,0,24
220710120001,641,619,22,0,0,0,42
220710077002,237,17,220,0,0,0,0
220710006043,1166,86,1061,0,0,19,31
220710006011,2810,0,2805,5,0,0,0
220710111004,529,51,478,0,0,0,0
220710077004,0,0,0,0,0,0,0
220710085004,339,0,339,0,0,0,0
220710119002,829,806,15,0,8,0,6
220710093013,370,0,364,6,0,0,0
220710003003,348,37,300,11,0,0,0
220710003002,391,53,338,0,0,0,0
220710079001,198,43,155,0,0,0,0
220710125002,767,275,492,0,0,0,43
220710077003,191,17,118,0,0,56,51
220710102005,380,22,358,0,0,0,0
220710135983,0,0,0,0,0,0,0
220710111001,483,47,436,0,0,0,0
220710093022,1885,22,1863,0,0,0,8
220710085003,527,0,527,0,0,0,34
220710125001,697,588,97,6,6,0,20
220710093014,196,0,196,0,0,0,0
220710093012,311,0,311,0,0,0,6
220710125003,333,0,333,0,0,0,0
220710119001,526,526,0,0,0,0,29
220710093021,1951,0,1951,0,0,0,0
220710006041,1599,347,1213,8,19,12,62
220710067001,217,202,15,0,0,0,94
220710079003,431,100,317,14,0,0,43
220710085002,546,0,546,0,0,0,0
220710080005,245,9,236,0,0,0,0
220710121023,341,314,18,0,0,9,9
220710102001,663,42,621,0,0,0,0
220710111005,520,63,435,11,11,0,0
220710121021,355,355,0,0,0,0,0
220710006022,913,210,703,0,0,0,0
220710126002,758,250,475,0,22,11,11
220710006021,886,387,474,0,0,25,42
220710126003,559,536,9,14,0,0,7
220710093011,412,0,412,0,0,0,17
220710086004,144,0,144,0,0,0,0
220710004004,708,21,687,0,0,0,0
220710112002,737,472,215,0,16,34,57
220710121022,3561,3161,286,0,98,16,217
220710080003,257,0,257,0,0,0,0
220710067002,262,69,182,0,11,0,11
220710080004,156,0,156,0,0,0,0
220710085001,369,0,369,0,0,0,0
220710080001,193,0,193,0,0,0,0
220710103002,1214,33,1181,0,0,0,14
220710094005,367,0,367,0,0,0,0
220710086003,478,25,453,0,0,0,0
220710080002,227,0,227,0,0,0,0
220710003004,599,6,593,0,0,0,0
220710003001,370,5,365,0,0,0,0
220710068004,182,0,182,0,0,0,0
220710127004,544,479,44,0,21,0,0
220710077001,617,542,75,0,0,0,11
220710068005,650,0,650,0,0,0,0
220710103003,835,121,714,0,0,0,17
220710086005,787,56,725,0,0,6,46
220710006023,900,212,679,0,0,9,0
220710067003,66,0,66,0,0,0,0
220710004003,584,136,448,0,0,0,0
220710094004,662,0,662,0,0,0,0
220710129002,333,314,14,0,0,5,41
220710006054,236,47,189,0,0,0,0
220710121013,409,339,61,0,9,0,0
220710068003,1061,0,1061,0,0,0,0
220710006051,1102,315,761,8,13,5,18
220710112001,670,579,42,0,7,42,77
220710127003,628,222,393,0,0,13,46
220710094006,449,18,431,0,0,0,0
220710086002,198,11,187,0,0,0,0
220710126001,653,508,145,0,0,0,41
220710059004,395,167,214,14,0,0,37
220710119003,668,628,0,15,15,10,76
220710006061,919,894,0,0,25,0,24
220710001002,444,187,257,0,0,0,17
220710068001,63,0,63,0,0,0,0
220710094003,279,0,279,0,0,0,0
220710086001,372,0,372,0,0,0,0
220710103004,537,79,458,0,0,0,16
220710059003,23,23,0,0,0,0,0
220710069003,212,0,212,0,0,0,0
220710002003,571,85,486,0,0,0,0
220710094007,34,0,34,0,0,0,0
220710068002,711,0,711,0,0,0,0
220710002002,488,42,446,0,0,0,0
220710002001,534,129,405,0,0,0,0
220710127001,759,419,340,0,0,0,32
220710121011,542,397,116,0,29,0,24
220710006052,627,277,342,0,8,0,0
220710057001,429,411,10,8,0,0,27
220710042003,259,231,20,8,0,0,0
220710001003,387,306,81,0,0,0,0
220710004002,830,201,629,0,0,0,24
220710122003,1179,1129,45,0,0,5,18
220710007994,0,0,0,0,0,0,0
220710094002,622,16,606,0,0,0,5
220710121012,1196,1007,29,0,160,0,100
220710123003,678,616,62,0,0,0,43
220710127002,596,240,305,0,41,10,24
220710129001,609,349,246,0,0,14,46
220710103001,1110,10,1091,0,0,9,15
220710007023,897,538,307,17,0,35,83
220710123001,621,193,412,0,0,16,35
220710069002,4574,12,4562,0,0,0,6
220710130002,687,175,512,0,0,0,0
220710128003,1011,726,285,0,0,0,64
220710131003,487,0,478,0,0,9,0
220710001004,587,358,127,0,0,102,74
220710129003,734,176,558,0,0,0,25
220710094001,329,0,329,0,0,0,0
220710123002,897,219,589,0,14,75,72
220710122002,599,510,84,0,0,5,5
220710130003,742,82,649,0,11,0,0
220710059002,0,0,0,0,0,0,0
220710058003,16,16,0,0,0,0,0
220710059001,190,148,37,0,5,0,0
220710069001,0,0,0,0,0,0,0
220710128002,572,545,6,0,0,21,25
220710124002,674,208,432,0,34,0,6
220710070003,718,0,718,0,0,0,0
220710060003,199,169,22,0,8,0,13
220710131004,515,0,515,0,0,0,9
220710006059,3090,2110,851,21,31,77,251
220710130001,683,208,475,0,0,0,5
220710058002,214,96,118,0,0,0,9
220710124003,391,374,9,0,0,8,39
220710122001,168,168,0,0,0,0,0
220710001001,480,315,165,0,0,0,0
220710007021,1006,264,742,0,0,0,15
220710060004,242,0,214,0,28,0,0
220710042002,472,467,0,0,0,5,5
220710132003,886,259,619,0,8,0,0
220710072004,328,0,322,0,6,0,0
220710042004,368,331,29,0,0,8,25
220710047001,282,256,26,0,0,0,0
220710060002,76,13,33,0,30,0,0
220710131001,539,0,539,0,0,0,0
220710131002,851,0,851,0,0,0,0
220710007022,814,192,605,0,0,17,92
220710124001,718,301,417,0,0,0,66
220710001005,374,296,28,6,0,44,44
220710004001,483,172,304,0,0,7,16
220710072005,730,6,721,0,0,3,3
220710042005,242,192,13,9,11,17,39
220710060001,370,28,326,0,16,0,0
220710038003,268,268,0,0,0,0,0
220710072003,454,0,454,0,0,0,0
220710049006,373,41,332,0,0,0,0
220710009032,457,7,450,0,0,0,0
220710132002,1164,218,946,0,0,0,13
220710042001,643,612,24,0,0,7,34
220710008002,1060,75,985,0,0,0,0
220710048001,2508,9,2490,9,0,0,0
220710008001,822,97,725,0,0,0,15
220710049005,168,74,94,0,0,0,14
220710058001,85,32,25,0,24,4,4
220710128001,1082,770,272,0,30,10,21
220710009014,918,16,902,0,0,0,0
220710075025,862,79,783,0,0,0,0
220710011004,557,216,334,0,0,7,51
220710132004,601,273,319,5,0,4,4
220710009042,757,0,749,8,0,0,0
220710071002,294,0,294,0,0,0,0
220710039006,80,0,80,0,0,0,0
220710038002,623,603,10,0,0,10,16
220710132001,744,276,468,0,0,0,0
220710007024,571,93,478,0,0,0,6
220710011009,0,0,0,0,0,0,0
220710049004,204,59,145,0,0,0,39
220710070002,181,15,166,0,0,0,0
220710008003,990,71,919,0,0,0,0
220710038001,731,705,11,0,15,0,0
220710018002,200,113,61,7,19,0,0
220710018003,481,350,123,0,0,8,31
220710075026,444,22,422,0,0,0,0
220710026002,610,538,47,0,11,14,47
220710049007,728,217,500,0,0,11,21
220710072002,406,7,399,0,0,0,0
220710072006,325,28,279,0,4,14,14
220710009043,823,14,809,0,0,0,0
220710039005,3,0,3,0,0,0,0
220710012002,410,282,128,0,0,0,13
220710011003,1237,291,946,0,0,0,13
220710049003,335,0,335,0,0,0,0
220710018004,441,328,101,0,0,12,91
220710012001,309,116,193,0,0,0,19
220710044015,327,0,327,0,0,0,0
220710009013,644,10,634,0,0,0,0
220710009044,589,0,589,0,0,0,0
220710044022,1303,9,1294,0,0,0,0
220710070001,804,58,744,0,0,2,15
220710011992,7,7,0,0,0,0,0
220710039003,434,156,278,0,0,0,7
220710075024,479,38,441,0,0,0,0
220710049002,701,20,650,0,0,31,31
220710063003,694,212,456,0,20,6,6
220710013044,653,225,428,0,0,0,0
220710075014,620,0,620,0,0,0,0
220710071001,4258,446,3732,0,0,80,93
220710009041,577,0,577,0,0,0,0
220710039004,222,16,166,0,0,40,0
220710044014,595,0,595,0,0,0,0
220710049001,576,23,526,0,0,27,50
220710026001,579,336,225,0,18,0,28
220710012003,803,270,533,0,0,0,14
220710026003,417,312,80,0,9,16,32
220710013033,787,196,546,0,0,45,45
220710071003,168,33,123,0,0,12,12
220710039002,441,48,379,0,8,6,21
220710063004,515,224,226,0,0,65,93
220710063002,682,142,345,0,0,195,277
220710072001,800,53,718,0,12,17,12
220710013013,699,332,354,0,0,13,30
220710013022,1093,63,1008,0,0,22,22
220710044013,312,0,312,0,0,0,18
220710011002,886,239,612,9,20,6,27
220710013012,422,73,349,0,0,0,0
220710063001,327,161,116,0,22,28,80
220710064004,589,164,405,0,0,20,42
220710027003,439,31,377,0,0,31,49
220710009033,644,0,644,0,0,0,0
220710075023,1195,19,1176,0,0,0,0
220710039001,486,6,480,0,0,0,18
220710018001,360,260,88,0,0,12,63
220710044021,1077,0,1077,0,0,0,0
220710012004,694,259,313,0,122,0,54
220710027002,665,13,652,0,0,0,8
220710009012,832,0,832,0,0,0,17
220710027004,670,0,670,0,0,0,0
220710044012,411,22,389,0,0,0,0
220710007013,1095,11,1084,0,0,0,0
220710040003,682,5,672,5,0,0,0
220710019002,900,248,646,0,0,6,66
220710044016,191,0,191,0,0,0,0
220710013014,480,65,415,0,0,0,0
220710076054,0,0,0,0,0,0,0
220710009031,559,0,559,0,0,0,0
220710075022,794,35,751,0,0,8,19
