Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With public assistance income,Margin of Error; Total: - With public assistance income,Estimate; Total: - No public assistance income,Margin of Error; Total: - No public assistance income
1500000US220710006121,2.2071E+11,"Block Group 1, Census Tract 6.12, Orleans Parish, Louisiana",538,68,0,12,538,68
1500000US220710006131,2.2071E+11,"Block Group 1, Census Tract 6.13, Orleans Parish, Louisiana",289,86,0,12,289,86
1500000US220710006132,2.2071E+11,"Block Group 2, Census Tract 6.13, Orleans Parish, Louisiana",520,132,14,22,506,129
1500000US220710006133,2.2071E+11,"Block Group 3, Census Tract 6.13, Orleans Parish, Louisiana",1243,130,31,25,1212,134
1500000US220710006151,2.2071E+11,"Block Group 1, Census Tract 6.15, Orleans Parish, Louisiana",621,132,18,22,603,136
1500000US220710006152,2.2071E+11,"Block Group 2, Census Tract 6.15, Orleans Parish, Louisiana",1065,173,0,12,1065,173
1500000US220710006161,2.2071E+11,"Block Group 1, Census Tract 6.16, Orleans Parish, Louisiana",348,101,0,12,348,101
1500000US220710006162,2.2071E+11,"Block Group 2, Census Tract 6.16, Orleans Parish, Louisiana",491,150,0,12,491,150
1500000US220710006163,2.2071E+11,"Block Group 3, Census Tract 6.16, Orleans Parish, Louisiana",636,126,0,12,636,126
1500000US220710006171,2.2071E+11,"Block Group 1, Census Tract 6.17, Orleans Parish, Louisiana",750,202,0,12,750,202
1500000US220710006172,2.2071E+11,"Block Group 2, Census Tract 6.17, Orleans Parish, Louisiana",1180,202,0,12,1180,202
1500000US220710006181,2.2071E+11,"Block Group 1, Census Tract 6.18, Orleans Parish, Louisiana",543,78,0,12,543,78
1500000US220710006182,2.2071E+11,"Block Group 2, Census Tract 6.18, Orleans Parish, Louisiana",750,98,21,30,729,101
1500000US220710007011,2.2071E+11,"Block Group 1, Census Tract 7.01, Orleans Parish, Louisiana",28,23,0,12,28,23
1500000US220710007012,2.2071E+11,"Block Group 2, Census Tract 7.01, Orleans Parish, Louisiana",45,21,0,12,45,21
1500000US220710007013,2.2071E+11,"Block Group 3, Census Tract 7.01, Orleans Parish, Louisiana",74,27,0,12,74,27
1500000US220710007014,2.2071E+11,"Block Group 4, Census Tract 7.01, Orleans Parish, Louisiana",75,27,8,9,67,27
1500000US220710007021,2.2071E+11,"Block Group 1, Census Tract 7.02, Orleans Parish, Louisiana",131,54,17,27,114,51
1500000US220710007022,2.2071E+11,"Block Group 2, Census Tract 7.02, Orleans Parish, Louisiana",252,68,0,12,252,68
1500000US220710007023,2.2071E+11,"Block Group 3, Census Tract 7.02, Orleans Parish, Louisiana",52,29,10,16,42,32
1500000US220710007024,2.2071E+11,"Block Group 4, Census Tract 7.02, Orleans Parish, Louisiana",176,77,26,36,150,63
1500000US220710008001,2.2071E+11,"Block Group 1, Census Tract 8, Orleans Parish, Louisiana",149,47,14,16,135,46
1500000US220710008002,2.2071E+11,"Block Group 2, Census Tract 8, Orleans Parish, Louisiana",165,53,47,40,118,40
1500000US220710008003,2.2071E+11,"Block Group 3, Census Tract 8, Orleans Parish, Louisiana",179,53,22,22,157,54
1500000US220710009011,2.2071E+11,"Block Group 1, Census Tract 9.01, Orleans Parish, Louisiana",59,28,0,12,59,28
1500000US220710009012,2.2071E+11,"Block Group 2, Census Tract 9.01, Orleans Parish, Louisiana",81,49,0,12,81,49
1500000US220710009013,2.2071E+11,"Block Group 3, Census Tract 9.01, Orleans Parish, Louisiana",38,27,0,12,38,27
1500000US220710009014,2.2071E+11,"Block Group 4, Census Tract 9.01, Orleans Parish, Louisiana",124,49,0,12,124,49
1500000US220710009021,2.2071E+11,"Block Group 1, Census Tract 9.02, Orleans Parish, Louisiana",14,10,0,12,14,10
1500000US220710009022,2.2071E+11,"Block Group 2, Census Tract 9.02, Orleans Parish, Louisiana",35,30,0,12,35,30
1500000US220710009023,2.2071E+11,"Block Group 3, Census Tract 9.02, Orleans Parish, Louisiana",67,40,0,12,67,40
1500000US220710009024,2.2071E+11,"Block Group 4, Census Tract 9.02, Orleans Parish, Louisiana",29,19,0,12,29,19
1500000US220710009031,2.2071E+11,"Block Group 1, Census Tract 9.03, Orleans Parish, Louisiana",55,31,0,12,55,31
1500000US220710009032,2.2071E+11,"Block Group 2, Census Tract 9.03, Orleans Parish, Louisiana",88,31,1,4,87,32
1500000US220710009033,2.2071E+11,"Block Group 3, Census Tract 9.03, Orleans Parish, Louisiana",22,19,0,12,22,19
1500000US220710009034,2.2071E+11,"Block Group 4, Census Tract 9.03, Orleans Parish, Louisiana",41,24,0,12,41,24
1500000US220710009041,2.2071E+11,"Block Group 1, Census Tract 9.04, Orleans Parish, Louisiana",193,51,8,13,185,50
1500000US220710009042,2.2071E+11,"Block Group 2, Census Tract 9.04, Orleans Parish, Louisiana",161,51,13,16,148,49
1500000US220710011001,2.2071E+11,"Block Group 1, Census Tract 11, Orleans Parish, Louisiana",274,72,0,12,274,72
1500000US220710011002,2.2071E+11,"Block Group 2, Census Tract 11, Orleans Parish, Louisiana",639,83,31,26,608,87
1500000US220710011003,2.2071E+11,"Block Group 3, Census Tract 11, Orleans Parish, Louisiana",0,12,0,12,0,12
