Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With public assistance income,Margin of Error; Total: - With public assistance income,Estimate; Total: - No public assistance income,Margin of Error; Total: - No public assistance income
1500000US220710033041,2.2071E+11,"Block Group 1, Census Tract 33.04, Orleans Parish, Louisiana",392,64,23,21,369,61
1500000US220710033042,2.2071E+11,"Block Group 2, Census Tract 33.04, Orleans Parish, Louisiana",373,60,5,7,368,61
1500000US220710033071,2.2071E+11,"Block Group 1, Census Tract 33.07, Orleans Parish, Louisiana",334,66,5,8,329,64
1500000US220710033072,2.2071E+11,"Block Group 2, Census Tract 33.07, Orleans Parish, Louisiana",231,47,0,12,231,47
1500000US220710033081,2.2071E+11,"Block Group 1, Census Tract 33.08, Orleans Parish, Louisiana",131,54,0,12,131,54
1500000US220710033082,2.2071E+11,"Block Group 2, Census Tract 33.08, Orleans Parish, Louisiana",269,75,10,17,259,76
1500000US220710033083,2.2071E+11,"Block Group 3, Census Tract 33.08, Orleans Parish, Louisiana",500,89,0,12,500,89
1500000US220710033084,2.2071E+11,"Block Group 4, Census Tract 33.08, Orleans Parish, Louisiana",215,63,0,12,215,63
1500000US220710033085,2.2071E+11,"Block Group 5, Census Tract 33.08, Orleans Parish, Louisiana",199,66,0,12,199,66
1500000US220710033086,2.2071E+11,"Block Group 6, Census Tract 33.08, Orleans Parish, Louisiana",47,32,0,12,47,32
1500000US220710034001,2.2071E+11,"Block Group 1, Census Tract 34, Orleans Parish, Louisiana",276,63,0,12,276,63
1500000US220710034002,2.2071E+11,"Block Group 2, Census Tract 34, Orleans Parish, Louisiana",408,79,20,32,388,75
1500000US220710035001,2.2071E+11,"Block Group 1, Census Tract 35, Orleans Parish, Louisiana",237,54,0,12,237,54
1500000US220710035002,2.2071E+11,"Block Group 2, Census Tract 35, Orleans Parish, Louisiana",165,56,11,18,154,55
1500000US220710035003,2.2071E+11,"Block Group 3, Census Tract 35, Orleans Parish, Louisiana",218,55,0,12,218,55
1500000US220710036001,2.2071E+11,"Block Group 1, Census Tract 36, Orleans Parish, Louisiana",210,47,0,12,210,47
1500000US220710036002,2.2071E+11,"Block Group 2, Census Tract 36, Orleans Parish, Louisiana",395,55,0,12,395,55
1500000US220710036003,2.2071E+11,"Block Group 3, Census Tract 36, Orleans Parish, Louisiana",208,59,18,19,190,58
1500000US220710037011,2.2071E+11,"Block Group 1, Census Tract 37.01, Orleans Parish, Louisiana",782,91,0,12,782,91
1500000US220710037012,2.2071E+11,"Block Group 2, Census Tract 37.01, Orleans Parish, Louisiana",248,58,0,12,248,58
1500000US220710037021,2.2071E+11,"Block Group 1, Census Tract 37.02, Orleans Parish, Louisiana",320,98,0,12,320,98
1500000US220710037022,2.2071E+11,"Block Group 2, Census Tract 37.02, Orleans Parish, Louisiana",293,89,0,12,293,89
1500000US220710037023,2.2071E+11,"Block Group 3, Census Tract 37.02, Orleans Parish, Louisiana",179,68,4,7,175,68
1500000US220710037024,2.2071E+11,"Block Group 4, Census Tract 37.02, Orleans Parish, Louisiana",255,77,0,12,255,77
1500000US220710037025,2.2071E+11,"Block Group 5, Census Tract 37.02, Orleans Parish, Louisiana",228,79,0,12,228,79
1500000US220710037026,2.2071E+11,"Block Group 6, Census Tract 37.02, Orleans Parish, Louisiana",380,101,0,12,380,101
1500000US220710038001,2.2071E+11,"Block Group 1, Census Tract 38, Orleans Parish, Louisiana",437,101,0,12,437,101
1500000US220710038002,2.2071E+11,"Block Group 2, Census Tract 38, Orleans Parish, Louisiana",420,104,0,12,420,104
1500000US220710039001,2.2071E+11,"Block Group 1, Census Tract 39, Orleans Parish, Louisiana",303,54,6,9,297,55
1500000US220710039002,2.2071E+11,"Block Group 2, Census Tract 39, Orleans Parish, Louisiana",362,71,14,13,348,74
1500000US220710040001,2.2071E+11,"Block Group 1, Census Tract 40, Orleans Parish, Louisiana",393,108,12,13,381,108
1500000US220710040002,2.2071E+11,"Block Group 2, Census Tract 40, Orleans Parish, Louisiana",528,104,14,18,514,106
1500000US220710041001,2.2071E+11,"Block Group 1, Census Tract 41, Orleans Parish, Louisiana",437,77,0,12,437,77
1500000US220710041002,2.2071E+11,"Block Group 2, Census Tract 41, Orleans Parish, Louisiana",352,58,15,19,337,58
1500000US220710044011,2.2071E+11,"Block Group 1, Census Tract 44.01, Orleans Parish, Louisiana",179,62,12,13,167,66
1500000US220710044012,2.2071E+11,"Block Group 2, Census Tract 44.01, Orleans Parish, Louisiana",153,58,0,12,153,58
1500000US220710044013,2.2071E+11,"Block Group 3, Census Tract 44.01, Orleans Parish, Louisiana",227,62,0,12,227,62
1500000US220710044021,2.2071E+11,"Block Group 1, Census Tract 44.02, Orleans Parish, Louisiana",37,62,0,12,37,62
1500000US220710044022,2.2071E+11,"Block Group 2, Census Tract 44.02, Orleans Parish, Louisiana",0,12,0,12,0,12
1500000US220710045001,2.2071E+11,"Block Group 1, Census Tract 45, Orleans Parish, Louisiana",225,68,0,12,225,68
1500000US220710045002,2.2071E+11,"Block Group 2, Census Tract 45, Orleans Parish, Louisiana",338,75,59,45,279,66
1500000US220710045003,2.2071E+11,"Block Group 3, Census Tract 45, Orleans Parish, Louisiana",479,95,17,19,462,91
1500000US220710046001,2.2071E+11,"Block Group 1, Census Tract 46, Orleans Parish, Louisiana",269,68,0,12,269,68
1500000US220710046002,2.2071E+11,"Block Group 2, Census Tract 46, Orleans Parish, Louisiana",804,94,18,28,786,93
1500000US220710046003,2.2071E+11,"Block Group 3, Census Tract 46, Orleans Parish, Louisiana",428,89,0,12,428,89
1500000US220710048001,2.2071E+11,"Block Group 1, Census Tract 48, Orleans Parish, Louisiana",376,94,6,8,370,94
1500000US220710049001,2.2071E+11,"Block Group 1, Census Tract 49, Orleans Parish, Louisiana",296,77,31,40,265,74
1500000US220710049002,2.2071E+11,"Block Group 2, Census Tract 49, Orleans Parish, Louisiana",234,64,6,8,228,62
1500000US220710049003,2.2071E+11,"Block Group 3, Census Tract 49, Orleans Parish, Louisiana",12,19,0,12,12,19
1500000US220710049004,2.2071E+11,"Block Group 4, Census Tract 49, Orleans Parish, Louisiana",119,43,6,9,113,43
1500000US220710050001,2.2071E+11,"Block Group 1, Census Tract 50, Orleans Parish, Louisiana",302,57,11,14,291,54
1500000US220710050002,2.2071E+11,"Block Group 2, Census Tract 50, Orleans Parish, Louisiana",303,59,26,27,277,58
1500000US220710054001,2.2071E+11,"Block Group 1, Census Tract 54, Orleans Parish, Louisiana",329,89,4,8,325,90
1500000US220710054002,2.2071E+11,"Block Group 2, Census Tract 54, Orleans Parish, Louisiana",324,99,0,12,324,99
1500000US220710054003,2.2071E+11,"Block Group 3, Census Tract 54, Orleans Parish, Louisiana",350,83,4,7,346,82
1500000US220710055001,2.2071E+11,"Block Group 1, Census Tract 55, Orleans Parish, Louisiana",437,74,0,12,437,74
1500000US220710055002,2.2071E+11,"Block Group 2, Census Tract 55, Orleans Parish, Louisiana",401,74,8,12,393,72
1500000US220710055003,2.2071E+11,"Block Group 3, Census Tract 55, Orleans Parish, Louisiana",370,74,6,11,364,75
1500000US220710056011,2.2071E+11,"Block Group 1, Census Tract 56.01, Orleans Parish, Louisiana",257,62,0,12,257,62
1500000US220710056012,2.2071E+11,"Block Group 2, Census Tract 56.01, Orleans Parish, Louisiana",252,55,0,12,252,55
1500000US220710056013,2.2071E+11,"Block Group 3, Census Tract 56.01, Orleans Parish, Louisiana",176,33,0,12,176,33
1500000US220710056014,2.2071E+11,"Block Group 4, Census Tract 56.01, Orleans Parish, Louisiana",191,37,0,12,191,37
1500000US220710056021,2.2071E+11,"Block Group 1, Census Tract 56.02, Orleans Parish, Louisiana",156,39,0,12,156,39
1500000US220710056022,2.2071E+11,"Block Group 2, Census Tract 56.02, Orleans Parish, Louisiana",327,51,0,12,327,51
1500000US220710056023,2.2071E+11,"Block Group 3, Census Tract 56.02, Orleans Parish, Louisiana",295,56,0,12,295,56
1500000US220710056024,2.2071E+11,"Block Group 4, Census Tract 56.02, Orleans Parish, Louisiana",173,55,0,12,173,55
1500000US220710056031,2.2071E+11,"Block Group 1, Census Tract 56.03, Orleans Parish, Louisiana",215,44,0,12,215,44
1500000US220710056032,2.2071E+11,"Block Group 2, Census Tract 56.03, Orleans Parish, Louisiana",228,48,0,12,228,48
1500000US220710056033,2.2071E+11,"Block Group 3, Census Tract 56.03, Orleans Parish, Louisiana",168,44,0,12,168,44
1500000US220710056041,2.2071E+11,"Block Group 1, Census Tract 56.04, Orleans Parish, Louisiana",195,57,0,12,195,57
1500000US220710056042,2.2071E+11,"Block Group 2, Census Tract 56.04, Orleans Parish, Louisiana",229,44,0,12,229,44
1500000US220710056043,2.2071E+11,"Block Group 3, Census Tract 56.04, Orleans Parish, Louisiana",174,39,0,12,174,39
1500000US220710060001,2.2071E+11,"Block Group 1, Census Tract 60, Orleans Parish, Louisiana",584,66,27,28,557,74
1500000US220710063001,2.2071E+11,"Block Group 1, Census Tract 63, Orleans Parish, Louisiana",363,68,5,7,358,68
1500000US220710063002,2.2071E+11,"Block Group 2, Census Tract 63, Orleans Parish, Louisiana",77,40,0,12,77,40
1500000US220710063003,2.2071E+11,"Block Group 3, Census Tract 63, Orleans Parish, Louisiana",229,61,0,12,229,61
1500000US220710064001,2.2071E+11,"Block Group 1, Census Tract 64, Orleans Parish, Louisiana",253,60,15,20,238,56
1500000US220710064002,2.2071E+11,"Block Group 2, Census Tract 64, Orleans Parish, Louisiana",331,78,0,12,331,78
1500000US220710064003,2.2071E+11,"Block Group 3, Census Tract 64, Orleans Parish, Louisiana",202,63,14,20,188,63
1500000US220710064004,2.2071E+11,"Block Group 4, Census Tract 64, Orleans Parish, Louisiana",242,60,0,12,242,60
1500000US220710065001,2.2071E+11,"Block Group 1, Census Tract 65, Orleans Parish, Louisiana",418,75,20,19,398,75
1500000US220710065002,2.2071E+11,"Block Group 2, Census Tract 65, Orleans Parish, Louisiana",375,68,17,21,358,73
1500000US220710065003,2.2071E+11,"Block Group 3, Census Tract 65, Orleans Parish, Louisiana",391,76,6,10,385,76
1500000US220710069001,2.2071E+11,"Block Group 1, Census Tract 69, Orleans Parish, Louisiana",103,37,3,5,100,38
1500000US220710069002,2.2071E+11,"Block Group 2, Census Tract 69, Orleans Parish, Louisiana",19,17,0,12,19,17
1500000US220710069003,2.2071E+11,"Block Group 3, Census Tract 69, Orleans Parish, Louisiana",153,40,0,12,153,40
1500000US220710070001,2.2071E+11,"Block Group 1, Census Tract 70, Orleans Parish, Louisiana",70,44,0,12,70,44
1500000US220710070002,2.2071E+11,"Block Group 2, Census Tract 70, Orleans Parish, Louisiana",136,38,0,12,136,38
1500000US220710071011,2.2071E+11,"Block Group 1, Census Tract 71.01, Orleans Parish, Louisiana",329,63,9,14,320,64
1500000US220710071012,2.2071E+11,"Block Group 2, Census Tract 71.01, Orleans Parish, Louisiana",790,88,0,12,790,88
1500000US220710072001,2.2071E+11,"Block Group 1, Census Tract 72, Orleans Parish, Louisiana",630,88,33,32,597,91
1500000US220710072002,2.2071E+11,"Block Group 2, Census Tract 72, Orleans Parish, Louisiana",278,81,0,12,278,81
1500000US220710072003,2.2071E+11,"Block Group 3, Census Tract 72, Orleans Parish, Louisiana",119,48,8,13,111,47
1500000US220710075011,2.2071E+11,"Block Group 1, Census Tract 75.01, Orleans Parish, Louisiana",206,70,0,12,206,70
1500000US220710075012,2.2071E+11,"Block Group 2, Census Tract 75.01, Orleans Parish, Louisiana",220,64,14,21,206,67
1500000US220710075013,2.2071E+11,"Block Group 3, Census Tract 75.01, Orleans Parish, Louisiana",217,69,0,12,217,69
1500000US220710075014,2.2071E+11,"Block Group 4, Census Tract 75.01, Orleans Parish, Louisiana",188,66,0,12,188,66
1500000US220710075015,2.2071E+11,"Block Group 5, Census Tract 75.01, Orleans Parish, Louisiana",139,66,0,12,139,66
1500000US220710075021,2.2071E+11,"Block Group 1, Census Tract 75.02, Orleans Parish, Louisiana",116,61,0,12,116,61
1500000US220710075022,2.2071E+11,"Block Group 2, Census Tract 75.02, Orleans Parish, Louisiana",131,65,9,13,122,69
1500000US220710075023,2.2071E+11,"Block Group 3, Census Tract 75.02, Orleans Parish, Louisiana",311,64,0,12,311,64
1500000US220710075024,2.2071E+11,"Block Group 4, Census Tract 75.02, Orleans Parish, Louisiana",162,70,0,12,162,70
1500000US220710075025,2.2071E+11,"Block Group 5, Census Tract 75.02, Orleans Parish, Louisiana",287,84,9,14,278,83
1500000US220710076041,2.2071E+11,"Block Group 1, Census Tract 76.04, Orleans Parish, Louisiana",369,63,0,12,369,63
1500000US220710076042,2.2071E+11,"Block Group 2, Census Tract 76.04, Orleans Parish, Louisiana",286,40,0,12,286,40
1500000US220710076051,2.2071E+11,"Block Group 1, Census Tract 76.05, Orleans Parish, Louisiana",275,52,0,12,275,52
1500000US220710076052,2.2071E+11,"Block Group 2, Census Tract 76.05, Orleans Parish, Louisiana",334,48,0,12,334,48
1500000US220710076061,2.2071E+11,"Block Group 1, Census Tract 76.06, Orleans Parish, Louisiana",761,102,0,12,761,102
1500000US220710076062,2.2071E+11,"Block Group 2, Census Tract 76.06, Orleans Parish, Louisiana",432,83,0,12,432,83
1500000US220710076063,2.2071E+11,"Block Group 3, Census Tract 76.06, Orleans Parish, Louisiana",636,93,0,12,636,93
1500000US220710077001,2.2071E+11,"Block Group 1, Census Tract 77, Orleans Parish, Louisiana",877,121,9,15,868,122
1500000US220710077002,2.2071E+11,"Block Group 2, Census Tract 77, Orleans Parish, Louisiana",751,119,15,22,736,116
1500000US220710078001,2.2071E+11,"Block Group 1, Census Tract 78, Orleans Parish, Louisiana",671,73,13,18,658,73
1500000US220710082001,2.2071E+11,"Block Group 1, Census Tract 82, Orleans Parish, Louisiana",454,94,0,12,454,94
1500000US220710082002,2.2071E+11,"Block Group 2, Census Tract 82, Orleans Parish, Louisiana",482,105,0,12,482,105
1500000US220710083001,2.2071E+11,"Block Group 1, Census Tract 83, Orleans Parish, Louisiana",321,52,5,9,316,52
1500000US220710083002,2.2071E+11,"Block Group 2, Census Tract 83, Orleans Parish, Louisiana",232,55,0,12,232,55
1500000US220710084001,2.2071E+11,"Block Group 1, Census Tract 84, Orleans Parish, Louisiana",336,72,15,15,321,75
1500000US220710084002,2.2071E+11,"Block Group 2, Census Tract 84, Orleans Parish, Louisiana",358,67,0,12,358,67
1500000US220710085001,2.2071E+11,"Block Group 1, Census Tract 85, Orleans Parish, Louisiana",330,97,33,38,297,93
1500000US220710085002,2.2071E+11,"Block Group 2, Census Tract 85, Orleans Parish, Louisiana",245,84,8,9,237,84
1500000US220710086001,2.2071E+11,"Block Group 1, Census Tract 86, Orleans Parish, Louisiana",216,49,0,12,216,49
1500000US220710086002,2.2071E+11,"Block Group 2, Census Tract 86, Orleans Parish, Louisiana",199,47,13,17,186,45
1500000US220710088001,2.2071E+11,"Block Group 1, Census Tract 88, Orleans Parish, Louisiana",411,85,9,15,402,83
1500000US220710088002,2.2071E+11,"Block Group 2, Census Tract 88, Orleans Parish, Louisiana",456,82,8,12,448,81
1500000US220710090001,2.2071E+11,"Block Group 1, Census Tract 90, Orleans Parish, Louisiana",305,75,0,12,305,75
1500000US220710090002,2.2071E+11,"Block Group 2, Census Tract 90, Orleans Parish, Louisiana",286,78,0,12,286,78
1500000US220710090003,2.2071E+11,"Block Group 3, Census Tract 90, Orleans Parish, Louisiana",428,92,14,22,414,95
1500000US220710091001,2.2071E+11,"Block Group 1, Census Tract 91, Orleans Parish, Louisiana",342,105,0,12,342,105
1500000US220710091002,2.2071E+11,"Block Group 2, Census Tract 91, Orleans Parish, Louisiana",186,68,0,12,186,68
1500000US220710091003,2.2071E+11,"Block Group 3, Census Tract 91, Orleans Parish, Louisiana",181,84,8,13,173,86
1500000US220710091004,2.2071E+11,"Block Group 4, Census Tract 91, Orleans Parish, Louisiana",409,98,0,12,409,98
1500000US220710092001,2.2071E+11,"Block Group 1, Census Tract 92, Orleans Parish, Louisiana",150,69,5,7,145,70
1500000US220710092002,2.2071E+11,"Block Group 2, Census Tract 92, Orleans Parish, Louisiana",216,56,10,16,206,57
1500000US220710092003,2.2071E+11,"Block Group 3, Census Tract 92, Orleans Parish, Louisiana",243,62,5,8,238,64
1500000US220710094001,2.2071E+11,"Block Group 1, Census Tract 94, Orleans Parish, Louisiana",164,57,0,12,164,57
1500000US220710094002,2.2071E+11,"Block Group 2, Census Tract 94, Orleans Parish, Louisiana",74,39,0,12,74,39
1500000US220710094003,2.2071E+11,"Block Group 3, Census Tract 94, Orleans Parish, Louisiana",114,48,0,12,114,48
1500000US220710094004,2.2071E+11,"Block Group 4, Census Tract 94, Orleans Parish, Louisiana",150,44,5,7,145,45
1500000US220710096001,2.2071E+11,"Block Group 1, Census Tract 96, Orleans Parish, Louisiana",262,59,14,16,248,60
1500000US220710096002,2.2071E+11,"Block Group 2, Census Tract 96, Orleans Parish, Louisiana",246,59,0,12,246,59
1500000US220710096003,2.2071E+11,"Block Group 3, Census Tract 96, Orleans Parish, Louisiana",228,53,3,6,225,54
1500000US220710097001,2.2071E+11,"Block Group 1, Census Tract 97, Orleans Parish, Louisiana",368,61,5,8,363,61
1500000US220710097002,2.2071E+11,"Block Group 2, Census Tract 97, Orleans Parish, Louisiana",353,66,3,6,350,66
1500000US220710099001,2.2071E+11,"Block Group 1, Census Tract 99, Orleans Parish, Louisiana",520,87,0,12,520,87
1500000US220710099002,2.2071E+11,"Block Group 2, Census Tract 99, Orleans Parish, Louisiana",443,77,12,18,431,79
1500000US220710099003,2.2071E+11,"Block Group 3, Census Tract 99, Orleans Parish, Louisiana",475,98,0,12,475,98
1500000US220710100001,2.2071E+11,"Block Group 1, Census Tract 100, Orleans Parish, Louisiana",142,60,0,12,142,60
1500000US220710100002,2.2071E+11,"Block Group 2, Census Tract 100, Orleans Parish, Louisiana",193,54,5,9,188,56
1500000US220710100003,2.2071E+11,"Block Group 3, Census Tract 100, Orleans Parish, Louisiana",308,69,0,12,308,69
1500000US220710100004,2.2071E+11,"Block Group 4, Census Tract 100, Orleans Parish, Louisiana",121,38,0,12,121,38
1500000US220710101001,2.2071E+11,"Block Group 1, Census Tract 101, Orleans Parish, Louisiana",318,83,7,11,311,81
1500000US220710101002,2.2071E+11,"Block Group 2, Census Tract 101, Orleans Parish, Louisiana",607,87,0,12,607,87
1500000US220710102001,2.2071E+11,"Block Group 1, Census Tract 102, Orleans Parish, Louisiana",151,63,0,12,151,63
1500000US220710102002,2.2071E+11,"Block Group 2, Census Tract 102, Orleans Parish, Louisiana",102,52,21,24,81,51
1500000US220710102003,2.2071E+11,"Block Group 3, Census Tract 102, Orleans Parish, Louisiana",128,55,5,8,123,56
1500000US220710102004,2.2071E+11,"Block Group 4, Census Tract 102, Orleans Parish, Louisiana",155,48,14,23,141,41
1500000US220710102005,2.2071E+11,"Block Group 5, Census Tract 102, Orleans Parish, Louisiana",200,53,0,12,200,53
1500000US220710103001,2.2071E+11,"Block Group 1, Census Tract 103, Orleans Parish, Louisiana",259,87,0,12,259,87
1500000US220710103002,2.2071E+11,"Block Group 2, Census Tract 103, Orleans Parish, Louisiana",329,88,30,36,299,96
1500000US220710103003,2.2071E+11,"Block Group 3, Census Tract 103, Orleans Parish, Louisiana",263,57,0,12,263,57
1500000US220710103004,2.2071E+11,"Block Group 4, Census Tract 103, Orleans Parish, Louisiana",182,82,0,12,182,82
1500000US220710106001,2.2071E+11,"Block Group 1, Census Tract 106, Orleans Parish, Louisiana",316,60,12,14,304,60
1500000US220710106002,2.2071E+11,"Block Group 2, Census Tract 106, Orleans Parish, Louisiana",366,75,0,12,366,75
1500000US220710107001,2.2071E+11,"Block Group 1, Census Tract 107, Orleans Parish, Louisiana",280,61,0,12,280,61
1500000US220710107002,2.2071E+11,"Block Group 2, Census Tract 107, Orleans Parish, Louisiana",593,85,0,12,593,85
1500000US220710108001,2.2071E+11,"Block Group 1, Census Tract 108, Orleans Parish, Louisiana",173,42,0,12,173,42
1500000US220710108002,2.2071E+11,"Block Group 2, Census Tract 108, Orleans Parish, Louisiana",492,62,0,12,492,62
1500000US220710109001,2.2071E+11,"Block Group 1, Census Tract 109, Orleans Parish, Louisiana",269,76,0,12,269,76
1500000US220710109002,2.2071E+11,"Block Group 2, Census Tract 109, Orleans Parish, Louisiana",504,92,0,12,504,92
1500000US220710109003,2.2071E+11,"Block Group 3, Census Tract 109, Orleans Parish, Louisiana",381,90,0,12,381,90
1500000US220710109004,2.2071E+11,"Block Group 4, Census Tract 109, Orleans Parish, Louisiana",272,84,0,12,272,84
1500000US220710111001,2.2071E+11,"Block Group 1, Census Tract 111, Orleans Parish, Louisiana",192,59,0,12,192,59
1500000US220710111002,2.2071E+11,"Block Group 2, Census Tract 111, Orleans Parish, Louisiana",291,68,0,12,291,68
1500000US220710111003,2.2071E+11,"Block Group 3, Census Tract 111, Orleans Parish, Louisiana",154,50,0,12,154,50
1500000US220710112001,2.2071E+11,"Block Group 1, Census Tract 112, Orleans Parish, Louisiana",288,62,0,12,288,62
1500000US220710112002,2.2071E+11,"Block Group 2, Census Tract 112, Orleans Parish, Louisiana",309,45,7,9,302,46
1500000US220710114001,2.2071E+11,"Block Group 1, Census Tract 114, Orleans Parish, Louisiana",445,86,0,12,445,86
1500000US220710114002,2.2071E+11,"Block Group 2, Census Tract 114, Orleans Parish, Louisiana",555,83,0,12,555,83
1500000US220710115001,2.2071E+11,"Block Group 1, Census Tract 115, Orleans Parish, Louisiana",286,52,0,12,286,52
1500000US220710115002,2.2071E+11,"Block Group 2, Census Tract 115, Orleans Parish, Louisiana",350,73,0,12,350,73
1500000US220710116001,2.2071E+11,"Block Group 1, Census Tract 116, Orleans Parish, Louisiana",354,54,0,12,354,54
1500000US220710116002,2.2071E+11,"Block Group 2, Census Tract 116, Orleans Parish, Louisiana",304,40,0,12,304,40
1500000US220710117001,2.2071E+11,"Block Group 1, Census Tract 117, Orleans Parish, Louisiana",210,64,0,12,210,64
1500000US220710117002,2.2071E+11,"Block Group 2, Census Tract 117, Orleans Parish, Louisiana",240,58,0,12,240,58
1500000US220710117003,2.2071E+11,"Block Group 3, Census Tract 117, Orleans Parish, Louisiana",315,75,0,12,315,75
1500000US220710117004,2.2071E+11,"Block Group 4, Census Tract 117, Orleans Parish, Louisiana",330,60,0,12,330,60
1500000US220710119001,2.2071E+11,"Block Group 1, Census Tract 119, Orleans Parish, Louisiana",226,61,0,12,226,61
1500000US220710119002,2.2071E+11,"Block Group 2, Census Tract 119, Orleans Parish, Louisiana",247,49,0,12,247,49
1500000US220710119003,2.2071E+11,"Block Group 3, Census Tract 119, Orleans Parish, Louisiana",225,53,0,12,225,53
1500000US220710120001,2.2071E+11,"Block Group 1, Census Tract 120, Orleans Parish, Louisiana",504,55,0,12,504,55
1500000US220710120002,2.2071E+11,"Block Group 2, Census Tract 120, Orleans Parish, Louisiana",176,36,0,12,176,36
1500000US220710121011,2.2071E+11,"Block Group 1, Census Tract 121.01, Orleans Parish, Louisiana",406,62,0,12,406,62
1500000US220710121012,2.2071E+11,"Block Group 2, Census Tract 121.01, Orleans Parish, Louisiana",429,60,0,12,429,60
1500000US220710121021,2.2071E+11,"Block Group 1, Census Tract 121.02, Orleans Parish, Louisiana",203,41,4,8,199,42
1500000US220710121022,2.2071E+11,"Block Group 2, Census Tract 121.02, Orleans Parish, Louisiana",16,9,0,12,16,9
1500000US220710121023,2.2071E+11,"Block Group 3, Census Tract 121.02, Orleans Parish, Louisiana",219,47,0,12,219,47
1500000US220710122001,2.2071E+11,"Block Group 1, Census Tract 122, Orleans Parish, Louisiana",495,70,13,14,482,71
1500000US220710122002,2.2071E+11,"Block Group 2, Census Tract 122, Orleans Parish, Louisiana",426,73,7,10,419,73
1500000US220710123001,2.2071E+11,"Block Group 1, Census Tract 123, Orleans Parish, Louisiana",229,62,19,21,210,60
1500000US220710123002,2.2071E+11,"Block Group 2, Census Tract 123, Orleans Parish, Louisiana",336,74,11,17,325,75
1500000US220710123003,2.2071E+11,"Block Group 3, Census Tract 123, Orleans Parish, Louisiana",344,71,0,12,344,71
1500000US220710124001,2.2071E+11,"Block Group 1, Census Tract 124, Orleans Parish, Louisiana",267,76,0,12,267,76
1500000US220710124002,2.2071E+11,"Block Group 2, Census Tract 124, Orleans Parish, Louisiana",405,62,10,15,395,65
1500000US220710125001,2.2071E+11,"Block Group 1, Census Tract 125, Orleans Parish, Louisiana",278,57,0,12,278,57
1500000US220710125002,2.2071E+11,"Block Group 2, Census Tract 125, Orleans Parish, Louisiana",528,71,4,6,524,71
1500000US220710126001,2.2071E+11,"Block Group 1, Census Tract 126, Orleans Parish, Louisiana",294,49,0,12,294,49
1500000US220710126002,2.2071E+11,"Block Group 2, Census Tract 126, Orleans Parish, Louisiana",317,64,0,12,317,64
1500000US220710126003,2.2071E+11,"Block Group 3, Census Tract 126, Orleans Parish, Louisiana",270,59,0,12,270,59
1500000US220710127001,2.2071E+11,"Block Group 1, Census Tract 127, Orleans Parish, Louisiana",343,77,0,12,343,77
1500000US220710127002,2.2071E+11,"Block Group 2, Census Tract 127, Orleans Parish, Louisiana",209,60,0,12,209,60
1500000US220710127003,2.2071E+11,"Block Group 3, Census Tract 127, Orleans Parish, Louisiana",220,67,7,10,213,66
1500000US220710127004,2.2071E+11,"Block Group 4, Census Tract 127, Orleans Parish, Louisiana",235,47,0,12,235,47
1500000US220710128001,2.2071E+11,"Block Group 1, Census Tract 128, Orleans Parish, Louisiana",253,71,0,12,253,71
1500000US220710128002,2.2071E+11,"Block Group 2, Census Tract 128, Orleans Parish, Louisiana",340,58,0,12,340,58
1500000US220710128003,2.2071E+11,"Block Group 3, Census Tract 128, Orleans Parish, Louisiana",378,61,0,12,378,61
1500000US220710129001,2.2071E+11,"Block Group 1, Census Tract 129, Orleans Parish, Louisiana",470,68,6,9,464,67
1500000US220710129002,2.2071E+11,"Block Group 2, Census Tract 129, Orleans Parish, Louisiana",283,59,0,12,283,59
1500000US220710130001,2.2071E+11,"Block Group 1, Census Tract 130, Orleans Parish, Louisiana",293,78,0,12,293,78
1500000US220710130002,2.2071E+11,"Block Group 2, Census Tract 130, Orleans Parish, Louisiana",239,67,0,12,239,67
1500000US220710130003,2.2071E+11,"Block Group 3, Census Tract 130, Orleans Parish, Louisiana",214,64,0,12,214,64
1500000US220710131001,2.2071E+11,"Block Group 1, Census Tract 131, Orleans Parish, Louisiana",115,44,10,19,105,43
1500000US220710131002,2.2071E+11,"Block Group 2, Census Tract 131, Orleans Parish, Louisiana",146,44,11,17,135,43
1500000US220710131003,2.2071E+11,"Block Group 3, Census Tract 131, Orleans Parish, Louisiana",157,49,0,12,157,49
1500000US220710131004,2.2071E+11,"Block Group 4, Census Tract 131, Orleans Parish, Louisiana",143,56,0,12,143,56
1500000US220710132001,2.2071E+11,"Block Group 1, Census Tract 132, Orleans Parish, Louisiana",208,66,0,12,208,66
1500000US220710132002,2.2071E+11,"Block Group 2, Census Tract 132, Orleans Parish, Louisiana",313,101,10,15,303,100
1500000US220710132003,2.2071E+11,"Block Group 3, Census Tract 132, Orleans Parish, Louisiana",294,85,19,20,275,86
1500000US220710132004,2.2071E+11,"Block Group 4, Census Tract 132, Orleans Parish, Louisiana",245,63,0,12,245,63
1500000US220710133011,2.2071E+11,"Block Group 1, Census Tract 133.01, Orleans Parish, Louisiana",315,60,0,12,315,60
1500000US220710133012,2.2071E+11,"Block Group 2, Census Tract 133.01, Orleans Parish, Louisiana",504,74,0,12,504,74
1500000US220710133013,2.2071E+11,"Block Group 3, Census Tract 133.01, Orleans Parish, Louisiana",180,41,0,12,180,41
1500000US220710133014,2.2071E+11,"Block Group 4, Census Tract 133.01, Orleans Parish, Louisiana",412,86,0,12,412,86
